Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications
D053,Synthline_conflicts,"Collection of requirement datasets from three public datasets (Library,CoffeeMachine,ETCS), one collected dataset (Broker system) and one extended dataset (PROMISE)",-. (2024). Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11000349,2024,https://zenodo.org/records/11000349,Creative Commons Attribution Share Alike 4.0 International,Requirements,Pair,management,traceability,multiple,136,en,Conflicts,"D033,D012,D019,D043",P047
D054,Synthline_defects,Collection of requirements datasets collected from real software projects and student projects labelled with defect types.,-. (2024). Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11000349,2024,https://zenodo.org/records/11000349,Creative Commons Attribution Share Alike 4.0 International,Requirements,Document,analysis,classification,multiple,131,en,"Optional,uncertain,directive,non-atomic,ambiguous,non-mesurable",-,P047
D055,UAV_conflicts,"Requirement pairs related to Unmanned Aerial Vehicle (UAV) control system operations labeled as ""conflict"" or ""neutral""","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,aerospace,6670,en,"Neutral,Conflict",-,P005
D056,Unfair-TOS,Collection of terms-of-service (ToS) clauses from 50 ToS agreements of online platforms labelled with fair/unfair labels.,"Lippi, M., Palka, P., Contissa, G., Lagioia, F., Micklitz, H.W., Sartor, G., Torroni, P.: CLAUDETTE: an automated detector of potentially unfair clauses in online terms of service. Artificial Intelligence and Law 27(2), 117–139 (feb 2019). https://doi.org/10.1007/s10506-019-09243-2",2019,http://claudette.eui.eu/ToS.zip,None,Legal text,Sentence,analysis,classification,software,12011,en,"Fair,Unfair",-,P052
D057,WARC,Cross-level requirements dataset for traceability tasks from the WARC healthcare project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/WARC.csv,None,Requirements,Pair,management,traceability,software,256,en,"Positive,Negative",-,"P049,P058,P116"
D058,Wei2023,"Crafted dataset for  bilingual app reviews, which can yield valuable insights for app developers and marketers","Wei, J., Courbis, A.-L., Lambolais, T., Xu, B., Bernard, P. L., & Dray, G. (2023). Zero-shot bilingual app reviews mining with large language models. In 2023 IEEE 35th International Conference on Tools with Artificial Intelligence (ICTAI) (pp. 898–904). IEEE. https://doi.org/10.1109/ICTAI59109.2023.00135",2023,https://github.com/Jl-wei/mini-bar,MIT License,User reviews,Sentence,analysis,classification,software,6003,"en,fr",-,-,P147
D059,WorldVista_conflicts,"Requirements pairs related to health management system labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,management,traceability,healthcare,10878,en,"Neutral,Conflict",D005,P005
D060,Xanthopoulou2024,Collection of requirements datasets for classification on functional and non-functional classes,"Xanthopoulou, G., Siavvas, M., Kalouptsoglou, I., & Tzovaras, D. (2024, June). Software requirements classification: From bag-of-words to transformer. https://doi.org/10.13140/RG.2.2.35146.58563",2024,https://sites.google.com/view/requirementsclassificationwith/,None,Requirements,Document,analysis,classification,multiple,3471,en,"Functional,Security,Usability,Operability,Performance,Fault Tolerance,Maintainability,Scalability,Look and Feel,Legal,Portability","D046,D043,D051",P048
D061,Yilongfei2024_1,Requirements with their corresponding linear temporal logic (LTL) formulas,"Y. Xu, J. Feng and W. Miao, ""Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,"" 2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS), Cambridge, United Kingdom, 2024, pp. 204-215, doi: 10.1109/QRS62785.2024.00029.",2024,https://huggingface.co/datasets/cRick/NL-to-LTL-Synthetic-Dataset,None,Requirements,Document,specification,modelling,multiple,24000,en,"absence_global,universal_global,existence_global,response_global,absence_after,universal_after,existence_after,response_after",-,P097
D062,Yilongfei2024_2,Derived from a public dataset on Huggingface about NL-LTL,"Y. Xu, J. Feng and W. Miao, ""Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,"" 2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS), Cambridge, United Kingdom, 2024, pp. 204-215, doi: 10.1109/QRS62785.2024.00029.",2024,https://github.com/AnonymousBreeze/LTL-Learner/blob/master/Dataset/Dataset_2.xlsx,None,Requirements,Document,specification,modelling,multiple,241,en,-,-,P097
