ID,Authors,Title,Year,Source title,Cited by,DOI,Abstract
P074,"J., Acharya, Jagrit; G., Ginde, Gouri",Graph Neural Network vs. Large Language Model: A Comparative Analysis for Bug Report Priority and Severity Prediction,2024,,0,10.1145/3663533.3664042,"A vast number of incoming bug reports demand effective methods to identify priority and severity for bug triaging. With increased technological advancement, machine learning and deep learning have been extensively examined to address this problem. Although Large Language Models (LLMs) such as Fine-tuned BERT (early generation LLM) have proven to capture context in the underlying textual data, severity and priority prediction demand additional features for understanding the relationships with other bug reports. This work utilizes the graph-based approach to model the bug reports and their other attributes, such as component, product and bug type information. It utilizes the relational intelligence of Graph Neural Network (GNN) to address the prioritization and severity assessment of bug reports in the Bugzilla bug tracking system. Initial tests on the Mozilla project dataset indicate that a project-wise predictive approach using GNNs yields higher accuracy in determining the priority and severity of bug reports compared to LLMs across multiple Mozilla projects, contributing to a notable advancement in the automation of bug severity and priority prediction tasks. Specifically, GNNs demonstrated a remarkable improvement over LLMs, increasing the priority prediction accuracy by 37% & 30% and severity prediction accuracy by 43% & 30% for Core and Firefox projects, respectively. Overall, GNN outperformed the Fine-tuned BERT (LLM) in predicting priority and severity for all the Mozilla projects. © 2024 Elsevier B.V., All rights reserved."
P075,"M.I., Azeem, Muhammad Ilyas; S., Abualhaija, Sallam",A Multi-solution Study on GDPR AI-enabled Completeness Checking of DPAs,2024,Empirical Software Engineering,2,10.1007/s10664-024-10491-3,"Specifying legal requirements for software systems to ensure their compliance with the applicable regulations is a major concern of requirements engineering. Personal data which is collected by an organization is often shared with other organizations to perform certain processing activities. In such cases, the General Data Protection Regulation (GDPR) requires issuing a data processing agreement (DPA) which regulates the processing and further ensures that personal data remains protected. Violating GDPR can lead to huge fines reaching to billions of Euros. Software systems involving personal data processing must adhere to the legal obligations stipulated both at a general level in GDPR as well as the obligations outlined in DPAs highlighting specific business. In other words, a DPA is yet another source from which requirements engineers can elicit legal requirements. However, the DPA must be complete according to GDPR to ensure that the elicited requirements cover the complete set of obligations. Therefore, checking the completeness of DPAs is a prerequisite step towards developing a compliant system. Analyzing DPAs with respect to GDPR entirely manually is time consuming and requires adequate legal expertise. In this paper, we propose an automation strategy that addresses the completeness checking of DPAs against GDPR provisions as a text classification problem. Specifically, we pursue ten alternative solutions which are enabled by different technologies, namely traditional machine learning, deep learning, language modeling, and few-shot learning. The goal of our work is to empirically examine how these different technologies fare in the legal domain. We computed F<inf>2</inf> score on a set of 30 real DPAs. Our evaluation shows that best-performing solutions yield F<inf>2</inf> score of 86.7% and 89.7% are based on pre-trained BERT and RoBERTa language models. Our analysis further shows that other alternative solutions based on deep learning (e.g., BiLSTM) and few-shot learning (e.g., SetFit) can achieve comparable accuracy, yet are more efficient to develop. © 2024 Elsevier B.V., All rights reserved."
P078,"G., Rejithkumar, Gokul; P.R., Anish, Preethu Rose; J.S., Shukla, Jyoti S.; S.S., Ghaisas, Smita S.",Probing with Precision: Probing Question Generation for Architectural Information Elicitation,2024,,0,10.1145/3643666.3648577,"Software Requirements Specifications (SRS) often lack the necessary level of specificity required by software architects to make well-informed architectural decisions. This deficiency compels software architects to probe business analysts to collect more details pertinent to architectural requirements from the clients. In our previous work, we introduced Probing Question-flows (PQ-flows) that can assist business analysts to probe stakeholders and gather architecturally significant information for the creation of a more comprehensive SRS. Key limitations of our previous work were the manually created templatized PQ-flows and the mapping of PQ-flows to the software requirements based on standard Vector Space Model. In this study, we propose a Retrieval Augmented Generation (RAG) prompting framework to address these limitations. We conducted experiments using ChatGPT and Mistral-7B models. We present our findings utilizing human and automated evaluation metrics on a subset of the publicly available PUblic REquirements (PURE) dataset. © 2024 Elsevier B.V., All rights reserved."
P080,"D., Luitel, Dipeeka; S., Hassani, Shabnam; M., Sabetzadeh, Mehrdad",Improving requirements completeness: automated assistance through large language models,2024,Requirements Engineering,16,10.1007/s00766-024-00416-3,"Natural language (NL) is arguably the most prevalent medium for expressing systems and software requirements. Detecting incompleteness in NL requirements is a major challenge. One approach to identify incompleteness is to compare requirements with external sources. Given the rise of large language models (LLMs), an interesting question arises: Are LLMs useful external sources of knowledge for detecting potential incompleteness in NL requirements? This article explores this question by utilizing BERT. Specifically, we employ BERT’s masked language model to generate contextualized predictions for filling masked slots in requirements. To simulate incompleteness, we withhold content from the requirements and assess BERT’s ability to predict terminology that is present in the withheld content but absent in the disclosed content. BERT can produce multiple predictions per mask. Our first contribution is determining the optimal number of predictions per mask, striking a balance between effectively identifying omissions in requirements and mitigating noise present in the predictions. Our second contribution involves designing a machine learning-based filter to post-process BERT’s predictions and further reduce noise. We conduct an empirical evaluation using 40 requirements specifications from the PURE dataset. Our findings indicate that: (1) BERT’s predictions effectively highlight terminology that is missing from requirements, (2) BERT outperforms simpler baselines in identifying relevant yet missing terminology, and (3) our filter reduces noise in the predictions, enhancing BERT’s effectiveness for completeness checking of requirements. © 2024 Elsevier B.V., All rights reserved."
P089,"D., Guidotti, Dario; L., Pandolfo, Laura; T., Fanni, Tiziana; M.K., Zedda, Maria Katiuscia; L., Pulina, Luca",Translating Requirements in Property Specification Patterns using LLMs,2024,CEUR Workshop Proceedings,1,,"This paper introduces ReqH, an innovative tool designed to streamline the translation of natural language requirements into Property Specification Patterns. The tool leverages the capabilities of Large Language Models, which are renowned for their ability to comprehend and generate human-like text. ReqH aims to address the challenges of translating informal requirements into formal specifications, a process that is crucial in industrial contexts, particularly within safety and security-critical domains which demand rigorous formalisation to ensure the reliability and security of systems. We present some preliminary results from evaluating our methodology on a dataset of semi-automatically generated automotive requirements. The findings indicate that Large Language Models, when applied to this translation process, show significant potential for improving the accuracy and efficiency of requirement specification. © 2025 Elsevier B.V., All rights reserved."
P093,"Z., Wang, Zhipeng; C., Feng, Changxi; L., Liu, Longfei; G., Jiao, Guotao; P., Ye, Peng",The Application of LLMs in the Analysis and Modeling of Software Requirements,2024,,0,10.1109/QRS-C63300.2024.00151,"In modern software engineering, requirements analysis and modeling are key steps in requirements engineering, influencing the subsequent system design and implementation. Traditional requirements analysis and modeling methods usually involve multiple stakeholders such as requirements providers and analysts working together collaboratively and iteratively, requiring a significant amount of manpower. It is of great significance to reduce the burden on requirements providers and analysts and improve the efficiency of analysis and modeling. In existing work, some merely utilize knowledge repositories to provide more knowledge in support of analysis or modeling, while others employ natural language processing (NLP) techniques to automate the analysis or modeling process. However, neither has relieved the burden on requirements providers and analysts. The emergence of large language models(LLMs) has brought new possibilities to requirements analysis and modeling. LLMs can combine knowledge base processing and understanding of large amounts of natural language data, providing a new automated requirement analysis method. This paper proposes an automated requirements analysis and modeling method for Support Vector Machine(SVM) classifier and LLMs - SVM-LLMs. The method is deployed based on the intelligent requirement service platform - 'Wisdom Requirement Communication', which combines SVM and LLMs to effectively improve the accuracy of requirements analysis and significantly reduce the time in the software development process. © 2024 Elsevier B.V., All rights reserved."
P097,"Y., Xu, Yilongfei; J., Feng, Jincao; W., Miao, Weikai",Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,2024,"IEEE International Conference on Software Quality, Reliability and Security, QRS",0,10.1109/QRS62785.2024.00029,"Formalization of intended requirements is indispensable when using formal methods in software development. However, translating Natural Language (NL) requirements into formal specifications, such as Linear Temporal Logic (LTL), is error-prone. Although Large Language Models (LLMs) offer the potential for automatically translating unstructured NL requirements to LTL formulas, general-purpose LLMs face two major problems: First, low accuracy in translation. Second, high cost of model training and tuning. To tackle these challenges, we propose a new approach that combines dynamic prompt generation with human-computer interaction to leverage LLM for an accurate and efficient translation of unstructured NL requirements to LTL formulas. Our approach consists of two techniques: 1) Dynamic Prompt Generation, which automatically generates the most appropriate prompts for translating the inquired NL requirements. 2) Interactive Prompt Evolution, which helps LLMs to learn from previous translation errors, i.e., erroneous formalizations are amended by users and added as new prompt fragments. Our approach achieves remarkable performance in publicly available datasets from two distinct domains, comprising 36 and 255,000 NL-LTL pairs, respectively. Without human interaction, our method achieves up to 94.4% accuracy. When our approach is extended to another domain, the accuracy improves from an initial 27% to 78% under interactive prompt evolution. © 2024 Elsevier B.V., All rights reserved."
P110,"K., Kolthoff, Kristian; F., Kretzer, Felix; C., Bartelt, Christian; A., Maedche, Alexander; S.P., Ponzetto, Simone Paolo",Interlinking User Stories and GUI Prototyping: A Semi-Automatic LLM-Based Approach,2024,Proceedings of the IEEE International Conference on Requirements Engineering,4,10.1109/RE59067.2024.00045,"Interactive systems are omnipresent today and the need to create graphical user interfaces (GUIs) is just as ubiq-uitous. For the elicitation and validation of requirements, GUI prototyping is a well-known and effective technique, typically employed after gathering initial user requirements represented in natural language (NL) (e.g., in the form of user stories). Un-fortunately, G UI prototyping often requires extensive resources, resulting in a costly and time-consuming process. Despite various easy-to-use prototyping tools in practice, there is often a lack of adequate resources for developing G UI prototypes based on given user requirements. In this work, we present a novel Large Language Model (LLM)-based approach providing assistance for validating the implementation of functional NL- based require-ments in a GUI prototype embedded in a prototyping tool. In particular, our approach aims to detect functional user stories that are not implemented in a G UI prototype and provides recommendations for suitable GUI components directly imple-menting the requirements. We collected requirements for existing GUIs in the form of user stories and evaluated our proposed validation and recommendation approach with this dataset. The obtained results are promising for user story validation and we demonstrate feasibility for the GUI component recommendations. © 2024 Elsevier B.V., All rights reserved."
P111,"N., Klievtsova, Nataliia; J., Mangler, Juergen; T., Kampik, Timotheus; S., Rinderle-Ma, Stefanie",Utilizing Process Models in the Requirements Engineering Process Through Model2Text Transformation,2024,Proceedings of the IEEE International Conference on Requirements Engineering,1,10.1109/RE59067.2024.00028,"With the advent of large language models (LLMs), requirements engineers have gained a powerful natural language processing tool to analyze, query, and validate a wide variety of textual artifacts, thus potentially supporting the whole re-quirements engineering process from requirements elicitation to management. However, the input for the requirements engineering process often encompasses a variety of potential information sources in various formats, especially graphical models such as process models. Hence, this work aims to contribute to the state of the art by assessing the feasibility of utilizing graphical process models and their textual representations in the requirements engineering process. In particular, we focus on the extraction of textual process descriptions from process models as i) input for the requirements engineering process and ii) documentation as the result of process-oriented requirements engineering. To this end, we explore, quantify, and compare traditional deterministic and LLM-based extraction methods where the latter includes GPT3, GPT3.5, GPT4, and LLAMA. The evaluation assesses output quality and information loss based on one data set. The results indicate that LLMs produce human-like process descriptions based on the predefined patterns, but apparently lack true comprehension of the process models. © 2024 Elsevier B.V., All rights reserved."
P116,"A.R., Preda, Anamaria Roberta; C., Mayr-Dorn, Christoph; A., Mashkoor, Atif; A.J., Egyed, Alexander James",Supporting High-Level to Low-Level Requirements Coverage Reviewing with Large Language Models,2024,,5,10.1145/3643991.3644922,"Refining high-level requirements into low-level ones is a common task, especially in safety-critical systems engineering. The objective is to describe every important aspect of the high-level requirement in a low-level requirement, ensuring a complete and correct implementation of the system's features. To this end, standards and regulations for safety-critical systems require reviewing the coverage of high-level requirements by all its low-level requirements to ensure no missing aspects.The challenge of supporting automatic reviews for requirements coverage originates from the distinct levels of abstraction between high-level and low-level requirements, their reliance on natural language, and the often different vocabulary used. The rise of Large Language Models (LLMs), trained on extensive text corpora and capable of contextualizing both high-level and low-level requirements, opens new avenues for addressing this challenge.This paper presents an initial study to explore the performance of LLMs in assessing requirements coverage. We employed GPT-3.5 and GPT-4 to analyze requirements from five publicly accessible data sets, determining their ability to detect if low-level requirements sufficiently address the corresponding high-level requirement. Our findings reveal that GPT-3.5, utilizing a zero-shot prompting strategy augmented with the prompt of explaining, correctly identifies complete coverage in four out of five evaluation data sets. Additionally, it exhibits an impressive 99.7% recall rate in accurately identifying instances where coverage is incomplete due to removing a single low-level requirement across our entire set of evaluation data.CCS CONCEPTS• Software and its engineering → Software creation and management; Designing software; Requirements analysis. © 2024 Elsevier B.V., All rights reserved."
P120,"J., Peer, Jordan; Y., Mordecai, Yaniv; Y., Reich, Yoram",NLP4ReF: Requirements Classification and Forecasting: From Model-Based Design to Large Language Models,2024,IEEE Aerospace Conference Proceedings,1,10.1109/AERO58975.2024.10521022,"We introduce Natural Language Processing for Requirement Forecasting (NLP4ReF), a model-based machine learning and natural language processing solution for enhancing the Requirements Engineering (RE) process. RE continues to face significant challenges and demands innovative approaches for process efficiency. Traditional RE methods relying on natural language struggle with incomplete, hidden, forgotten, and evolving requirements during and after the critical design review, risking project failures and setbacks. NLP4ReF tackles several key challenges: a) distinguishing between functional and non-functional requirements, b) classification of requirements by their respective system classes, and c) generation of unanticipated requirements to enhance project success. NLP4ReF employs a common natural language toolkit (NLTK) package and the recently-trending Chat-GPT. We tested NLP4ReF on PROMISE_exp, a pre-existing dataset with 1000 software requirements, and PROMISE_IoT, an enhanced dataset with 2000 software and IoT requirements. We validated NLP4ReF on a genuine IoT project. NLP4ReF swiftly generated dozens of new requirements, verified by a team of systems engineers, of which over 70% were crucial for project success. We found that GPT is superior in authentic requirement generation, while NLTK excels at requirement classification. NLP4ReF offers significant time saving, effort reduction, and improved future-proofing. Our model-based design approach provides a foundation for enhanced RE practices and future research in this domain. © 2024 Elsevier B.V., All rights reserved."
P121,"A., El-Hajjami, Abdelkarim; N., Fafin, Nicolas; C., Salinesi, Camille","Which AI Technique Is Better to Classify Requirements? An Experiment with SVM, LSTM, and ChatGPT",2024,CEUR Workshop Proceedings,0,,"Recently, Large Language Models like ChatGPT have demonstrated remarkable proficiency in various Natural Language Processing tasks. Their application in Requirements Engineering, especially in requirements classification, has gained increasing interest. This paper report an extensive empirical evaluation of two ChatGPT models, specifically gpt-3.5-turbo, and gpt-4 in both zero-shot and few-shot settings for requirements classification. The question arises as to how these models compare to traditional classification methods, specifically Support Vector Machine and Long Short-Term Memory. Based on five different datasets, our results show that there is no single best technique for all types of requirement classes. Interestingly, the few-shot setting has been found to be beneficial primarily in scenarios where zero-shot results are significantly low. © 2024 Elsevier B.V., All rights reserved."
P131,"Q., Motger, Quim Motger; A., Miaschi, Alessio Miaschi; F., Dell'Orletta, Felice Dell'Orletta; X., Franch, Xavier Franch; J., Marco, Jordi Marco",T-FREX: A Transformer-based Feature Extraction Method from Mobile App Reviews,2024,"Proceedings 2024 IEEE International Conference on Software Analysis Evolution and Reengineering, SANER",11,10.1109/SANER60148.2024.00030,"Mobile app reviews are a large-scale data source for software-related knowledge generation activities, including software maintenance, evolution and feedback analysis. Effective extraction of features (i.e., functionalities or characteristics) from these reviews is key to support analysis on the acceptance of these features, identification of relevant new feature requests and prioritization of feature development, among others. Traditional methods focus on syntactic pattern-based approaches, typically context-agnostic, evaluated on a closed set of apps, difficult to replicate and limited to a reduced set and domain of apps. Mean-while, the pervasiveness of Large Language Models (LLMs) based on the Transformer architecture in software engineering tasks lays the groundwork for empirical evaluation of the performance of these models to support feature extraction. In this study, we present T-FREX, a Transformer-based, fully automatic approach for mobile app review feature extraction. First, we collect a set of ground truth features from users in a real crowdsourced software recommendation platform and transfer them automatically into a dataset of app reviews. Then, we use this newly created dataset to fine-tune multiple LLMs on a named entity recognition task under different data configurations. We assess the performance of T-FREX with respect to this ground truth, and we complement our analysis by comparing T-FREX with a baseline method from the field. Finally, we assess the quality of new features predicted by T-FREX through an external human evaluation. Results show that T-FREX outperforms on average the traditional syntactic-based method, especially when discovering new features from a domain for which the model has been fine-tuned. © 2024 IEEE."
P147,"J., Wei, Jialiang; A.L., Courbis, Anne Lise; T., Lambolais, Thomas; B., Xu, Binbin; P.L., Bernard, Pierre Louis; G., Dray, Gérard",Zero-shot Bilingual App Reviews Mining with Large Language Models,2023,,8,10.1109/ICTAI59109.2023.00135,"App reviews from app stores are crucial for improving software requirements. A large number of valuable reviews are continually being posted, describing software problems and expected features. Effectively utilizing user reviews necessitates the extraction of relevant information, as well as their subsequent summarization. Due to the substantial volume of user reviews, manual analysis is arduous. Various approaches based on natural language processing (NLP) have been proposed for automatic user review mining. However, the majority of them requires a manually crafted dataset to train their models, which limits their usage in real-world scenarios. In this work, we propose Mini-BAR, a tool that integrates large language models (LLMs) to perform zero-shot mining of user reviews in both English and French. Specifically, Mini-BAR is designed to (i) classify the user reviews, (ii) cluster similar reviews together, (iii) generate an abstractive summary for each cluster and (iv) rank the user review clusters. To evaluate the performance of Mini-BAR, we created a dataset containing 6,000 English and 6,000 French annotated user reviews and conducted extensive experiments. Preliminary results demonstrate the effectiveness and efficiency of Mini-BAR in requirement engineering by analyzing bilingual app reviews. © 2024 Elsevier B.V., All rights reserved."
P148,"S., Arulmohan, Sathurshan; M.J., Meurs, Marie Jean; S., Mosser, Sébastien",Extracting Domain Models from Textual Requirements in the Era of Large Language Models,2023,,33,10.1109/MODELS-C59198.2023.00096,"Requirements Engineering is a critical part of the software lifecycle, describing what a given piece of software will do (functional) and how it will do it (non-functional). Requirements documents are often textual, and it is up to software engineers to extract the relevant domain models from the text, which is an error-prone and time-consuming task. Considering the recent attention gained by Large Language Models (LLMs), we explored how they could support this task. This paper investigates how such models can be used to extract domain models from agile product backlogs and compare them to (i) a state-of-practice tool as well as (ii) a dedicated Natural Language Processing (NLP) approach, on top of a reference dataset of 22 products and 1, 679 user stories. Based on these results, this paper is a first step towards using LLMs and/or tailored NLP to support automated requirements engineering thanks to model extraction using artificial intelligence. © 2024 Elsevier B.V., All rights reserved."
P153,"F., Cruciani, Federico; S.J., Moore, Samuel J.; C.D., Nugent, Chris D.",Comparing general purpose pre-trained Word and Sentence embeddings for Requirements Classification,2023,CEUR Workshop Proceedings,1,,"The recent evolution of NLP has enriched the set of DL-based approaches to include a number of general-purpose Large Language Models (LLMs). Whereas new models have been proven useful for generic text handling, their applicability to domain-specific NLP tasks still remains doubtful, particularly because of the limited amount of dataset available in certain domains, such as Requirements Engineering. In this study, different pre-trained embeddings were tested in three requirements classification tasks, in search of a tradeoff between accuracy and computational complexity. The best F1-score results were obtained with BERT (90.36% and 84.23%), with DistilBERT identified as optimal tradeoff (90.28% and 82.61%). © 2023 Elsevier B.V., All rights reserved."
