Code,Name,Description,Reference,Year,URL,License,Artifact type,Granularity,RE stage,Task,Domain,Size,Languages,Labels,Extends,Publications,,,,,,,,,,,,,,
D048,RailwayReq Corpus,Subset of requirements documents sharing the same domain from the PURE dataset,"Perko, A., & Wotawa, F. (2024). Replication Package for: Evaluating OpenAI Large Language Models for Generating Logical Abstractions of Technical Requirements Documents. 2023 IEEE 23rd International Conference on Software Quality, Reliability, and Security (QRS), Cambridge, United Kingdom. IEEE. https://doi.org/10.5281/zenodo.11264429",2024,https://zenodo.org/records/11264429,Creative Commons Attribution 4.0 International,Requirements,Document,Specification,Modelling,railway,1306,en,-,D046,P098,,,,,,,,,,,,,,
D049,RE-2019-Materials,"Multiple dataset extracted from diferent experiments: PROMISE, Dronology, ReqView, Leeds Library and WASP","Fabiano Dalpiaz, Davide Dell'Anna, Fatma Başak Aydemir, & Sercan Çevikol. (2019). explainable-re/RE-2019-Materials v0 (Versión v0). Zenodo. https://doi.org/10.5281/zenodo.3309669",2019,https://zenodo.org/records/3309669,None,Requirements,Document,Management,Classification,"security,real estate,healthcare,finance,services,retail,media,education,gaming,call center,sports,railway",1501,en,"IsFunctional,IsQuality,OnlyFunctional,OnlyQuality","D043,D017",P121,,,,,,,,,,,,,,
D050,ReqEval,"Collection of requirements orignated from seven distinct domains: spacecraft, diagnostic, digital home, digital library repository management, weather, archive file manipulation and railway.","S. Yildirim, G. Malik, M. Cevik and A. Başar, ""Anaphora Resolution in Software Requirements Engineering: A Comparison of Generative NLP Pipelines and Encoder-Based Models,"" 2024 34th International Conference on Collaborative Advances in Software and COmputiNg (CASCON), Toronto, ON, Canada, 2024, pp. 1-6, doi: 10.1109/CASCON62161.2024.10837905.",2021,https://github.com/frieden84/nlp4re-reqeval,Creative Commons Attribution 4.0 International,Requirements,Sentence,Analysis,Classification,"aerospace,healthcare,services,weather,software,railway",200,en,"Nocuous,Inocuous",-,P083,,,,,,,,,,,,,,
D051,SecReq,Collection of security requirements from three open-source software projects,"Wang, W., Mahakala, K. R., Gupta, A., Hussein, N., & Wang, Y. (2019). Data on security requirements in open-source software projects. Data in Brief, 25, 103590. https://doi.org/10.1016/j.dib.2018.12.029",2019,https://doi.org/10.1016/j.dib.2018.12.029,Creative Commons Attribution 4.0 International,Requirements,Document,Analysis,Classification,software,817,en,Security,-,P048,,,,,,,,,,,,,,
D052,StackOverflow_conflicts,"Post pairs from StackOverflow labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Post,Pair,Management,Traceability,software,4329,en,"Neutral,Conflict",-,P005,,,,,,,,,,,,,,
D053,Synthline_conflicts,"Collection of requirement datasets from three public datasets (Library,CoffeeMachine,ETCS), one collected dataset (Broker system) and one extended dataset (PROMISE)",-. (2024). Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11000349,2024,https://zenodo.org/records/11000349,Creative Commons Attribution 4.0 International,Requirements,Pair,Management,Traceability,"security,real estate,healthcare,finance,services,retail,media,education,gaming,call center,sports,railway",136,en,Conflicts,"D033,D012,D019,D043",P047,,,,,,,,,,,,,,
D054,Synthline_defects,Collection of requirements datasets collected from real software projects and student projects labelled with defect types.,-. (2024). Dataset for: Lessons from the Use of Natural Language Inference (NLI) in Requirements Engineering Tasks [Data set]. Zenodo. https://doi.org/10.5281/zenodo.11000349,2024,https://zenodo.org/records/11000349,Creative Commons Attribution 4.0 International,Requirements,Document,Analysis,Classification,"security,real estate,healthcare,finance,services,retail,media,education,gaming,call center,sports,railway",131,en,"Optional,uncertain,directive,non-atomic,ambiguous,non-mesurable",-,P047,,,,,,,,,,,,,,
D055,UAV_conflicts,"Requirement pairs related to Unmanned Aerial Vehicle (UAV) control system operations labeled as ""conflict"" or ""neutral""","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,Management,Traceability,aerospace,6670,en,"Neutral,Conflict",-,P005,,,,,,,,,,,,,,
D056,Unfair-TOS,Collection of terms-of-service (ToS) clauses from 50 ToS agreements of online platforms labelled with fair/unfair labels.,"Lippi, M., Palka, P., Contissa, G., Lagioia, F., Micklitz, H.W., Sartor, G., Torroni, P.: CLAUDETTE: an automated detector of potentially unfair clauses in online terms of service. Artificial Intelligence and Law 27(2), 117–139 (feb 2019). https://doi.org/10.1007/s10506-019-09243-2",2019,http://claudette.eui.eu/ToS.zip,None,Legal text,Sentence,Analysis,Classification,software,12011,en,"Fair,Unfair",-,P052,,,,,,,,,,,,,,
D057,WARC,Cross-level requirements dataset for traceability tasks from the WARC healthcare project,"C. Ge, T. Wang, X. Yang and C. Treude, ""Cross-Level Requirements Tracing Based on Large Language Models,"" in IEEE Transactions on Software Engineering, vol. 51, no. 7, pp. 2044-2066, July 2025, doi: 10.1109/TSE.2025.3572094.",2025,https://github.com/Gechuyan/Cross-Level-Requirements-Tracing-Based-on-Large-Language-Model/blob/main/Cross-Level%20Requirements%20Tracing%20Based%20on%20Large%20Language%20Model/Data/Original_Data/WARC.csv,None,Requirements,Pair,Management,Traceability,software,256,en,"Positive,Negative",-,"P049,P058,P116",,,,,,,,,,,,,,
D058,Wei2023,"Crafted dataset for  bilingual app reviews, which can yield valuable insights for app developers and marketers","Wei, J., Courbis, A.-L., Lambolais, T., Xu, B., Bernard, P. L., & Dray, G. (2023). Zero-shot bilingual app reviews mining with large language models. In 2023 IEEE 35th International Conference on Tools with Artificial Intelligence (ICTAI) (pp. 898–904). IEEE. https://doi.org/10.1109/ICTAI59109.2023.00135",2023,https://github.com/Jl-wei/mini-bar,MIT,User reviews,Sentence,Analysis,Classification,software,6003,"en,fr",-,-,P147,,,,,,,,,,,,,,
D059,WorldVista_conflicts,"Requirements pairs related to health management system labeled as ""conflict"" or ""neutral"".","Malik, G., Cevik, M., & Başar, A. (2023). Data augmentation for conflict and duplicate detection in software engineering sentence pairs. In Proceedings of the 33rd Annual International Conference on Computer Science and Software Engineering (CASCON ’23) (pp. 34–43).",2023,https://gitfront.io/r/user-9946871/ii6eJFSh7oT4/DA-Sentence-Pairs/,None,Requirements,Pair,Management,Traceability,healthcare,10878,en,"Neutral,Conflict",D005,P005,,,,,,,,,,,,,,
D060,Xanthopoulou2024,Collection of requirements datasets for classification on functional and non-functional classes,"Xanthopoulou, G., Siavvas, M., Kalouptsoglou, I., & Tzovaras, D. (2024, June). Software requirements classification: From bag-of-words to transformer. https://doi.org/10.13140/RG.2.2.35146.58563",2024,https://sites.google.com/view/requirementsclassificationwith/,None,Requirements,Document,Analysis,Classification,"security,real estate,healthcare,finance,services,retail,media,education,gaming,call center,sports,railway",3471,en,"Functional,Security,Usability,Operability,Performance,Fault Tolerance,Maintainability,Scalability,Look and Feel,Legal,Portability","D046,D043,D051",P048,,,,,,,,,,,,,,
D061,Yilongfei2024_1,Requirements with their corresponding linear temporal logic (LTL) formulas,"Y. Xu, J. Feng and W. Miao, ""Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,"" 2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS), Cambridge, United Kingdom, 2024, pp. 204-215, doi: 10.1109/QRS62785.2024.00029.",2024,https://huggingface.co/datasets/cRick/NL-to-LTL-Synthetic-Dataset,None,Requirements,Document,Specification,Modelling,"railway,automotive",24000,en,"absence_global,universal_global,existence_global,response_global,absence_after,universal_after,existence_after,response_after",-,P097,,,,,,,,,,,,,,
D062,Yilongfei2024_2,Derived from a public dataset on Huggingface about NL-LTL,"Y. Xu, J. Feng and W. Miao, ""Learning from Failures: Translation of Natural Language Requirements into Linear Temporal Logic with Large Language Models,"" 2024 IEEE 24th International Conference on Software Quality, Reliability and Security (QRS), Cambridge, United Kingdom, 2024, pp. 204-215, doi: 10.1109/QRS62785.2024.00029.",2024,https://github.com/AnonymousBreeze/LTL-Learner/blob/master/Dataset/Dataset_2.xlsx,None,Requirements,Document,Specification,Modelling,"railway,automotive",241,en,-,-,P097,,,,,,,,,,,,,,
D063,Srs-doc-d3197,A synthetic text dataset designed for LLM-based requirements engineering tasks. It includes prompt–completion pairs where prompts describe software requirements and completions generate structured Software Requirements Specifications (SRS).,,2025,https://huggingface.co/datasets/AnishMUST/SRS-DOC-D3197,None,Requirements,Pair,Specification,Modelling,Software,100,en,-,-,-,,,,,,,,,,,,,,
D064,My-distiset-00bab1a1,"LLM-generated dataset containing multiple SRS examples across different domains, structured in standard RE format for requirements engineering tasks.",,2025,https://huggingface.co/datasets/AnishMUST/my-distiset-00bab1a1,None,Requirements,Pair,Specification,Modelling,Software,20,en,-,-,-,,,,,,,,,,,,,,
D065,My-distiset-eda74028,"LLM-generated dataset containing SRS templates, examples, and responses structured around standard software requirements specification sections for requirements engineering tasks.",,2025,https://huggingface.co/datasets/AnishMUST/my-distiset-eda74028,None,Requirements,Pair,Specification,Modelling,Software,10,en,-,-,-,,,,,,,,,,,,,,
D066,U_st_ai,"A dataset of LLM-generated user stories for AI systems, annotated with quality attributes, NFRs, ethics, and inter-requirement relationships.",,2025,https://huggingface.co/datasets/Asma/UStAI,Apache 2.0,User stories,Sentence,Elicitation,Classification,Autonomous Vehicles,1260,en,"atomic, minimal, Conceptually sound, Problem-oriented, Unambiguous, Conflict-free, Estimatable, Independent, Unique, Implied ethical needs, Non-Functional Requirements, Meas-ends relation",- ,https://doi.org/10.1145/3727582.3728689,,,,,,,,,,,,,,
D067,FNFC-Functional_Non-Functional_Calssification,"The FNFC dataset is a labeled collection of 7,060 software requirement statements categorized into 14 requirement classes, designed for research and modeling in requirements classification. It was created by refining and re-labeling the Fault-prone SRS Dataset from Kaggle, ensuring high-quality annotations through expert review.",,2024,https://huggingface.co/datasets/MSHD-IAU/FNFC-Functional_Non-Functional_Calssification,None,Requirements,Sentence,Analysis,Classification,Software,7060,en,"F – Functional Requirements, A – Availability, AU – Autonomy, FT – Fault Tolerance, LF – Look and Feel, LL – Legal & Licensing, M – Maintainability, O – Inter-Operability, P – Portability, PE – Performance, R – Reliability, SC – Scalability, SE – Security, US – Usability",https://www.kaggle.com/datasets/corpus4panwo/fault-prone-srs-dataset,-,,,,,,,,,,,,,,
D068,Fr_nfr_spanish_requirements_classification,"A Spanish requirements dataset created from academic projects to support machine learning-based classification of functional and non-functional requirements, addressing the lack of non-English datasets in requirements engineering.",,2022,https://huggingface.co/datasets/MariaIsabel/FR_NFR_Spanish_requirements_classification,cc-by-4.0,Requirements,Sentence,Analysis,Classification,Software,389,spn,"F- Functional Requirements, NF - Non Functional Requirements",- ,https://doi.org/10.1109/RE54965.2022.00039,,,,,,,,,,,,,,
D069,NFR_Spanish_requirements_classification,"The dataset is a filtered subset focusing on non-functional requirements",,2024,https://huggingface.co/datasets/MariaIsabel/NFR_Spanish_requirements_classification,cc-by-4.0,Requirements,Sentence,Analysis,Classification,Software,109,spn,"Security, Usability, Reliability, Performance Efficiency, Portability, Maintainability, Functional Suitability",- ,https://dl.acm.org/doi/10.1145/3555776.3578611,,,,,,,,,,,,,,
D070,Promise_nfr_translated,"Spanish-translated version of the PROMISE dataset containing functional and multiple categories of non-functional requirements, designed for multi-class requirement classification tasks.",,2024,https://huggingface.co/datasets/MariaIsabel/PROMISE_NFR_translated,cc-by-4.0,Requirements,Sentence,Analysis,Classification,Software,625,spn,"F, A, PE, US, SE, LF, SC, FT, O, L, MN, PO",- ,https://link.springer.com/chapter/10.1007/978-3-031-29786-1_11,,,,,,,,,,,,,,
D071,Metro_code_chapters_18_to_22_data,"Dataset is explicitly designed for LLM fine-tuning in requirement extraction and classification",,2025,https://huggingface.co/datasets/OrangeeSofty/Metro_Code_Chapters_18_to_22_Data,Apache 2.0,Requirements,Sentence,Specification,Extraction,Transportation,17402,chn,"Functional Requirement, Interface Requirement, Performance Requirement, Physical Requirement, Design Constraint",-,-,,,,,,,,,,,,,,
D072,Story_seek,"Requirements engineering dataset focused on user stories and goal-driven Elicitation, making it directly suitable for LLM-based RE tasks.",,2025,https://huggingface.co/datasets/SoftACE/StorySeek,MIT,User stories,Instance,Elicitation,Modelling,Software,1005,en,"goal, actor, impact, deliverable, user story",- ,https://arxiv.org/abs/2503.13279,,,,,,,,,,,,,,
D073,Aero_bert-ner,"Requirments for aerospace",,2023,https://huggingface.co/datasets/archanatikayatray/aeroBERT-NER,Apache 2.0,Requirements,Token,Analysis,Extraction,Aerospace,44035,en,"BIO tags (SYS, VAL, ORG, DATETIME, RES, O)",-,https://repository.gatech.edu/entities/publication/964c73e3-f0a8-487d-a3fa-a0988c840d04,,,,,,,,,,,,,,
D074,AeroBERT-classification,"This is a small, manually annotated dataset of aerospace requirements used for requirement classification.",,2023,https://huggingface.co/datasets/archanatikayatray/aeroBERT-classification,Apache 2.0,Requirements,Sentence,Analysis,Classification,Aerospace,311,en,"3 classes (Design=0, Functional=1, Performance=2)",- ,https://www.mdpi.com/2226-4310/10/3/279,,,,,,,,,,,,,,
D075,Auto_factory,"Manufacturing requirements labelled with BIO tags to extract key components and support PLC code generation",,2025,https://huggingface.co/datasets/boudribila/AutoFactory,None,Requirements,Token,Analysis,Extraction,Manufacturing,296963,en,"BIO labels (ACTUATOR, PREACTUATOR, SENSOR, EFFECTOR, O)",- ,https://www.sciencedirect.com/science/article/pii/S2352340925006626,,,,,,,,,,,,,,
D076,Tag-governance-cascon2025-artifact,"Software requirements with multi-model generated tags and governance outputs for evaluating tag normalization and drift.",,2025,https://huggingface.co/datasets/dvipk/tag-governance-cascon2025-artifact,creativeml-openrail-m,Requirements,Sentence,Analysis,Extraction,"FinTech, Saas",300,en,"anonical_tag, original_tag, cluster_id",-,-,,,,,,,,,,,,,,
D077,Fm-alpaca,"Dataset for translating natural-language requirements into formal ACSL specifications for program verification.",,2025,https://huggingface.co/datasets/fm-universe/FM-alpaca,Apache 2.0,Requirements,Pair,Specification,Modelling,Verfication,14372,en,-,-,https://huggingface.co/papers/2501.16207,,,,,,,,,,,,,,
D078,Fm-bench-verified,"It used to train/evaluate models that generate, understand, or verify formal annotations for C programs (e.g., Frama-C / ACSL verification tasks).",,2025,https://huggingface.co/datasets/fm-universe/FM-bench-verified,Apache 2.0,Requirements,Pair,Verification,Modelling,Formal Methods,280,en,-,https://huggingface.co/datasets/fm-universe/FM-bench,-,,,,,,,,,,,,,,
D079,Live-fm-bench,"Continuously updated benchmark of C programs and verification properties for evaluating LLMs on formal specification generation.",,2025,https://huggingface.co/datasets/fm-universe/Live-FM-Bench,Apache 2.0,Requirements,Pair,Verification,Modelling,Formal Methods,360,en,-,https://zenodo.org/records/10826204,-,,,,,,,,,,,,,,
D080,Uml-nl-ocl-100,"It used for tasks such as translating natural-language specifications of UML constraints into executable OCL code.",,2024,https://huggingface.co/datasets/fpan/uml-nl-ocl-100,cc-by-4.0,Requirements,Instance,Specification,Modelling,Software,114,en,"Implicit (NL ↔ OCL mapping)",-,https://zenodo.org/records/7749795,,,,,,,,,,,,,,
D081,Neodataset,"A dataset of agile issue and user story text from GitLab projects, paired with story points for requirement analysis and effort estimation.",,2024,https://huggingface.co/datasets/giseldo/neodataset,AFL-3.0,User stories,Sentence,Elicitation,Classification,"bug tracking",20479,en,"No explicit labels",- ,https://arxiv.org/abs/2406.16259,,,,,,,,,,,,,,
D082,Ai_objectives,"A structured dataset defining ISO-based AI system quality characteristics and non-functional requirements, including formal definitions and practical implementation guidance.",,2025,https://huggingface.co/datasets/hewyler/AIObjectives,cc-by-4.0,Requirements,Instance,Specification,Classification,"AI systems Quality",49,en,"Accessibility, Accountability, Adaptability, Analyzability, Appropriateness recognisability, Authenticity, Availability, Capacity, Co-existence, Comfort, Confidentiality, Context completeness, Economic risk mitigation, Effectiveness, Efficiency, Environment risk mitigation, Fault tolerance, Flexibility, Functional adaptability, Functional appropriateness",-,-,,,,,,,,,,,,,,
D083,Ami,"AMI Corpus is a meeting summarization dataset containing dialogues and their corresponding human-written summaries. It is primarily used for text summarization tasks and includes discussions that may implicitly reflect requirements and design decisions.",,2022,https://huggingface.co/datasets/knkarthick/AMI,cc-by-4.0,"Dialogue and Summary",Instance,Elicitation,Modelling,Software,209,en,"Summary",- ,https://groups.inf.ed.ac.uk/ami/corpus/overview.shtml,,,,,,,,,,,,,,
D084,Meta_agent-creator,"MetaAgent Creator is an XML-based system prompt framework designed to support AI agent design through requirement extraction, prompt engineering, and adaptive reasoning. It is not a traditional dataset but a structured prompt specification.",,2024,https://huggingface.co/datasets/kojikubota/MetaAgent-Creator,MIT,Post,Document,Elicitation,Modelling,"AI Agents",2,"en,jpn",-,-,-,,,,,,,,,,,,,,
D085,Quantum-agent-genesis,"Quantum Agent Genesis is a prompt-based XML framework for designing and optimizing multi-agent systems using quantum-inspired principles and self-organization. It supports requirement analysis and system design but is not a traditional dataset.",,2025,https://huggingface.co/datasets/kojikubota/quantum-agent-genesis,MIT,Post,Document,Elicitation,Modelling,"Multi AI Agents",2,"en,jpn",-,-,-,,,,,,,,,,,,,,
D086,Webgen-agent_train_step-grpo,"A structured instruction dataset for website generation where natural language inputs encode functional and UI requirements, enabling LLMs to generate and iteratively refine web applications.",,2025,https://huggingface.co/datasets/luzimu/webgen-agent_train_step-grpo,MIT,Post,Instance,Specification,Modelling,"Web development",501,en,-,-,https://arxiv.org/abs/2505.03733,,,,,,,,,,,,,,
D087,Software_requirements,"A small tabular dataset containing natural language software task descriptions across multiple programming domains, which implicitly represent functional requirements used for code generation.",,2024,https://huggingface.co/datasets/nguyenminh871/software_requirements,MIT,Requirements,Instance,Specification,Modelling,"Software Devlopment",61,en,-,-,-,,,,,,,,,,,,,,
D088,Automotive_requirements,"A dataset of automotive system requirements with associated metadata for analysis, validation, and safety assessment.",,2025,https://huggingface.co/datasets/ron164/automotive_requirements,Apache 2.0,Requirements,Instance,Specification,Modelling,"Automotive systems",47,en,"Qualification_Method, Artifact_Type, Requirement_Type, Verification_Method, Cybersecurity, Key_Requirement, Legal_Certification_Requirement",-,-,,,,,,,,,,,,,,
D089,SoftwareReq-data,"A dataset of software requirements paired with related questions, designed to support requirement understanding, clarification, and elicitation tasks in software engineering.",,2023,https://huggingface.co/datasets/kelSidenna/softwareReq-data,None,QA,Pair,Elicitation,"Q&A",Software,5640,en,-,-,-,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
