"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Lee K.Y.; Yoo J.","Lee, Keun Young (59660603900); Yoo, Jiyeon (59660881000)","59660603900; 59660881000","A Proposal of a Supply Chain Security Model for Generative AI","2025","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics) ","15499 LNCS","","","324","335","0","10.1007/978-981-96-1624-4_25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85219183685&doi=10.1007%2F978-981-96-1624-4_25&partnerID=40&md5=cf6591e0d0cece1a5ecc8539f6c17d31","As technology continues to evolve and integrate into every aspect of our lives, effective technology management is becoming increasingly critical. Among the latest significant topics in this field is supply chain security management. The growing complexity of technology and the expansion of open-source platforms, cloud services, and other technologies have amplified the roles and authorizations of various third parties involved in the technology supply chain. This has led to a rise in supply chain attacks leveraging these third parties, as such attacks are relatively accessible for attackers and highly efficient; a single successful attack can compromise similar systems. Generative AI systems are particularly vulnerable to supply chain attacks due to their complex and interconnected nature. These systems comprise various elements such as data, models, and infrastructure that continuously evolve, forming a dynamic system ecosystem. As a result, compromising even a minor component of the generative AI system ecosystem can jeopardize the entire system. In this paper, we emphasize the importance of supply chain security for generative AI. We define supply chain security for generative AI through an analysis of the structure of these systems and propose a security model for managing supply chain security. This model is based on a comprehensive examination of major security standards and guidelines related to generative AI. We conceptualize generative AI supply chain security as the implementation of strategies, processes, and controls to secure the entire lifecycle of a generative AI system—from source, design, and development to deployment and maintenance. Our aim is to protect data preprocessing, source code, learning algorithms, third-party libraries, and related components such as prompts and infrastructure from potential vulnerabilities, threats, and attacks. This includes securing the AI system development process, ensuring the reliability of service providers, and implementing continuous surveillance and vulnerability management techniques, and more. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2025.","Adversarial Machine Learning; AI Security; AI(Artificial Intelligence); Cyber Supply Chain Security; Generative AI","Conference paper","Final","","Scopus","2-s2.0-85219183685"
"Khabbazi M.R.; Danielsson F.; Massouh B.; Lennartson B.","Khabbazi, Mahmood Reza (35069661800); Danielsson, Fredrik (6602639751); Massouh, Bassam (57820709900); Lennartson, Bengt (7003687066)","35069661800; 6602639751; 57820709900; 7003687066","Plug and Produce — a review and future trend","2024","International Journal of Advanced Manufacturing Technology","134","9-10","","3991","4014","4","10.1007/s00170-024-14379-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204092263&doi=10.1007%2Fs00170-024-14379-w&partnerID=40&md5=212570c10df3c0acbd1150d8d9b4af88","This article presents a systematic literature review on the Plug and Produce concept in advanced automated manufacturing control systems. Over recent decades, this concept has evolved significantly, with researchers focusing on enhancing its applicability and improving its conceptual, logical, and physical aspects across various sub-areas such as system design, methodologies, and supporting tools within the Industry 4.0 and Industry 5.0 frameworks. The review offers technical insights on the research domain of Plug and Produce accompanied by an analytical schematic outlining five key evolving research streams ranging from system design framework, and functionality features, up to the empirical application. Additionally, the article discusses important issues surrounding the evolution of Plug and Produce in alignment with emerging trends within Industry 5.0 automation. By analyzing the literature and current trends in industrial automation, the article highlights critical key development directions for shaping the future of manufacturing systems focusing on smart, circular, and human-centric solutions using Plug and Produce. © The Author(s) 2024.","Flexibility and Reconfigurability; Industry 4.0; Module-based / Modular Production System; Plug & Produce; Plug and Produce; Reconfigurable Manufacturing System","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85204092263"
"Pantelimon F.V.; Posedaru B.Ș.","Pantelimon, Florin Valeriu (57365826600); Posedaru, Bogdan Ștefan (57365677600)","57365826600; 57365677600","Improving Programming Activities Using ChatGPT: A Practical Approach","2024","Smart Innovation, Systems and Technologies","367","","","307","316","4","10.1007/978-981-99-6529-8_26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185715031&doi=10.1007%2F978-981-99-6529-8_26&partnerID=40&md5=de1f84440694b9a7178d10bad3fb9061","This article analyzes the usage in the programming of ChatGPT, a natural language processing tool, along with how it may enhance teamwork, communication, and code quality. ChatGPT is an effective tool for developers since it can produce code snippets, templates, and functions based on natural language input. The team's capacity to grasp natural language input can assist in closing the communication and cooperation gap between technical and non-technical team members. Furthermore, ChatGPT can assist developers in finding and fixing bugs or errors in their code more quickly and efficiently by increasing the accuracy of automated code review and testing. However, there are potential disadvantages to take into account as well, such as the danger of relying too heavily on automated tools, restrictions on ChatGPT's capacity to comprehend intricate technical concepts, and worries regarding bias in the training data used to create the tool. ChatGPT has the ability to change programming as a whole by making it more approachable, effective, and user-friendly. To ensure its usefulness and acceptance in the programming community, it will be necessary to carefully analyze and solve any potential constraints and difficulties. © The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd. 2024.","ChatGPT; OpenAI; Programming; Software development","Conference paper","Final","","Scopus","2-s2.0-85185715031"
"Sai C.; Sadiq S.; Han L.; Demartini G.; Rinderle-Ma S.","Sai, Catherine (58450123800); Sadiq, Shazia (7006420326); Han, Lei (57212641741); Demartini, Gianluca (23087954800); Rinderle-Ma, Stefanie (24376814800)","58450123800; 7006420326; 57212641741; 23087954800; 24376814800","Which Legal Requirements are Relevant to a Business Process? Comparing AI-Driven Methods as Expert Aid","2024","Lecture Notes in Business Information Processing","513","","","166","182","2","10.1007/978-3-031-59465-6_11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193623319&doi=10.1007%2F978-3-031-59465-6_11&partnerID=40&md5=5dd3867c696cb74079fc6b924a8f2e16","Organizations are obliged to ensure compliance with an increasing amount of regulatory requirements stemming from laws, regulations, directives, and policies. As a first step, it is to be determined which of the requirements are relevant in a certain context, depending on factors such as location of the organization and the business processes. For the processes, the identification of relevant requirements can be detailed by an assessment of which parts of each document are relevant for which step of a given process. Nowadays the identification of process-relevant regulatory requirements is mostly done manually by domain and legal experts, posing a tremendous workload due to the extensive number of regulatory documents and their frequent changes. Hence, this work examines how organizations can be assisted in the identification of relevant requirements for their processes based on embedding-based NLP ranking and generative AI. The evaluation highlights strengths and weaknesses of both methods regarding applicability, automation, transparency, and reproducibility. The evaluation results lead to guidelines on which method combinations will maximize benefits for given characteristics such as process usage, impact, and dynamics of an application scenario. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Business Process Compliance; Large Language Models; Legal Information Retrieval; Regulatory Relevance","Conference paper","Final","","Scopus","2-s2.0-85193623319"
"Fetzer D.; Gimpel H.; Meindl O.; Strickmann J.","Fetzer, Dominik (60086918500); Gimpel, Henner (14008766500); Meindl, Oliver (57201854985); Strickmann, Jan (60086615600)","60086918500; 14008766500; 57201854985; 60086615600","Responsible Engineering of Information Systems Based on Generative Artificial Intelligence: An Action Design Research Study at a German Premium Car Manufacturer","2025","Business and Information Systems Engineering","","","","","","2","10.1007/s12599-025-00950-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015192832&doi=10.1007%2Fs12599-025-00950-6&partnerID=40&md5=5bbc490efdd30a7b433d10509258c994","Generative artificial intelligence (GenAI) is a rapidly evolving field that enables novel and valuable information systems. However, developing GenAI-based information systems poses unique challenges that need to be addressed by researchers and practitioners. This paper proposes a method that supports organizations in the responsible engineering of GenAI-based information systems aimed at improving internal operations and value-creation processes. To develop the method enabling organizations to exploit GenAI’s enormous potential while mitigating associated risks, elaborated action design research was adopted. One diagnosis cycle, two design cycles, and one implementation cycle were conducted, involving the evaluation of the method’s design through 48 interviews with practitioners and based on the realization of three real-world GenAI use cases. The theoretical contribution includes prescriptive design knowledge for the responsible engineering of GenAI-based information systems. From a practical standpoint, the paper extends organizations’ methodological toolbox with a holistic, prescriptive guideline for engineering GenAI-based information systems. © The Author(s) 2025.","Elaborated action design research; Generative artificial intelligence; Software engineering","Article","Article in press","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105015192832"
"Chakraborty S.; Liebel G.","Chakraborty, Shalini (57222421081); Liebel, Grischa (55948351800)","57222421081; 55948351800","Modelling guidance in software engineering: a systematic literature review","2024","Software and Systems Modeling","23","1","","249","265","5","10.1007/s10270-023-01117-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164973624&doi=10.1007%2Fs10270-023-01117-1&partnerID=40&md5=8eb51a6201c7c40c48df7f77a50b543b","Despite potential benefits in Software Engineering, adoption of software modelling in industry is low. Technical issues such as tool support have gained significant research before, but individual guidance and training have received little attention. As a first step towards providing the necessary guidance in modelling, we conduct a systematic literature review to explore the current state of the art. We searched academic literature for guidance on model creation and selected 35 papers for full-text screening through three rounds of selection. We find research on model creation guidance to be fragmented, with inconsistent usage of terminology, and a lack of empirical validation or supporting evidence. We outline the different dimensions commonly used to provide guidance on software and system model creation. Additionally, we provide definitions of the three terms modelling method, style, and guideline as current literature lacks a well-defined distinction between them. These definitions can help distinguishing between important concepts and provide precise modelling guidance. © The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature 2023.","Modelling guidance; Modelling method; Modelling styles; Modelling training; Systematic literature review","Article","Final","","Scopus","2-s2.0-85164973624"
"Arz von Straussenburg A.F.; Wolters A.; Aldenhoff T.T.; Riehle D.M.","Arz von Straussenburg, Arnold F. (58304896500); Wolters, Anna (57945202800); Aldenhoff, Timon T. (59160556900); Riehle, Dennis M. (57189628005)","58304896500; 57945202800; 59160556900; 57189628005","Enabling Responsible LLM-Based Grading in Higher Education – Design Guidelines and a Reproducible Data Preparation Pipeline","2025","Lecture Notes in Computer Science","15704 LNCS","","","3","20","0","10.1007/978-3-031-93979-2_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008220004&doi=10.1007%2F978-3-031-93979-2_1&partnerID=40&md5=8e455e49510b908ff80fa14a286dc981","This paper addresses the increasing demand for accurate, fair, and efficient grading of essay-style assessments in higher education by integrating institutional requirements with recent advances in large language models (LLMs). We propose a pipeline emphasizing privacy, explainability, consistency, and fairness. To ensure privacy, the system operates on local servers and employs rigorous anonymization of student data. Grading events integrate task prompts, instructor guidelines, student submissions, grader commentary, and final scores into structured records, enhancing evaluation accuracy and transparency. We detail the development and validation process, fine-tuning two local LLMs using historical course data. Results demonstrate the models’ ability to effectively replicate original grading decisions while safeguarding student data. Additionally, we discuss how this framework aligns with the interests of students, educators, and policymakers. Our approach establishes a foundational methodology for responsibly integrating AI-driven grading into higher education. This contribution fosters trust among stakeholders and sets a clear direction for future implementation and research efforts. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated Grading; Echeloned DSR; Large Language Models; Privacy and Fairness; Responsible AI","Conference paper","Final","","Scopus","2-s2.0-105008220004"
"Garaccione G.; Coppola R.; Ardito L.; Torchiano M.","Garaccione, Giacomo (57986675000); Coppola, Riccardo (57191261885); Ardito, Luca (36184897700); Torchiano, Marco (6602571197)","57986675000; 57191261885; 36184897700; 6602571197","Gamification of conceptual modeling education with UML class diagrams: an experimental analysis","2025","Software and Systems Modeling","","","","","","0","10.1007/s10270-025-01282-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002238030&doi=10.1007%2Fs10270-025-01282-5&partnerID=40&md5=73eafdac29debee2a6750f303f5a0ba9","UML has become, throughout the years, the most popular modeling language for the conceptual design of software. However, UML diagrams are frequently flawed with semantic and syntactical errors. One of the main root causes for such issues can be traced back to software modeling education in software engineering curricula, which is typically given less attention than core development activities. The objective of this manuscript is to describe the application of gamification (i.e., the use of game-related mechanics in non-gameful contexts) to increase the motivation and engagement of Master’s students in learning the core concepts of UML modeling. Our tool prototype includes typical gamification mechanics such as avatars, achievements, scoring mechanisms, and leaderboards and incorporates a system for automatic validation of the correctness of the student’s solution. We empirically evaluated the benefits achieved through the tool by performing a controlled experiment with 280 Master’s students. We found that the use of gamification significantly increased the student commitment to perform exercises, the completeness of the exercises, and the semantic quality of the produced diagrams. Through standard usability questionnaires, we also gathered positive responses and attitudes toward the usage of the tool. © The Author(s) 2025.","Gamification; Information systems; Teaching; UML modeling","Article","Article in press","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105002238030"
"Massenon R.; Gambo I.; Khan J.A.; Agbonkhese C.; Alwadain A.","Massenon, Rhodes (57222048007); Gambo, Ishaya (57194111747); Khan, Javed Ali (57209631963); Agbonkhese, Christopher (58529241700); Alwadain, Ayed (54895196300)","57222048007; 57194111747; 57209631963; 58529241700; 54895196300","”My AI is Lying to Me”: User-reported LLM hallucinations in AI mobile apps reviews","2025","Scientific Reports","15","1","30397","","","10","10.1038/s41598-025-15416-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013665295&doi=10.1038%2Fs41598-025-15416-8&partnerID=40&md5=402d0a6a7cba1c74323ec3b6fb11d02f","Large Language Models (LLMs) are increasingly integrated into AI-powered mobile applications, offering novel functionalities but also introducing the risk of “hallucinations” generating plausible yet incorrect or nonsensical information. These AI errors can significantly degrade user experience and erode trust. However, there is limited empirical understanding of how users perceive, report, and are impacted by LLM hallucinations in real-world mobile app settings. This paper presents a large-scale empirical study analyzing 3 million user reviews from 90 diverse AI-powered mobile apps to characterize these user-reported issues. Using a mixed-methods approach, a heuristic-based User-Reported LLM Hallucination Detection algorithm were applied to identify 20,000 candidate reviews, from which 1,000 are manually annotated. This analysis estimates the prevalence of user reports indicative of LLM hallucinations, which was found to be approximately 1.75% within reviews initially flagged as relevant to AI errors. A data-driven taxonomy of seven user-perceived LLM hallucination types, were developed with Factual Incorrectness (H1) emerged as the most frequently reported type, accounting for 38% of instances, followed by Nonsensical/Irrelevant Output (H3) at 25%, and Fabricated Information (H2) at 15%. Furthermore, linguistic patterns were identified using N-grams generation, Non-Negative Matrix Factorization (NMF) topics and sentiment characteristics using VADER, showing significantly lower scores for hallucination reports associated with these reviews. These findings offer critical implications for software quality assurance, highlighting the need for targeted monitoring and mitigation strategies for AI mobile apps. This research provides a foundational, user-centric understanding of LLM hallucinations, paving the way for improved AI model development and more trustworthy mobile applications. © The Author(s) 2025.","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105013665295"
"Bustos-Terrones Y.A.; Quevedo-Castro A.; Bandala E.R.; Kurniawan T.A.; Loaiza J.G.","Bustos-Terrones, Yaneth A. (56602953700); Quevedo-Castro, Alberto (57192688035); Bandala, Erick R. (6602388224); Kurniawan, Tonni Agustiono (57226619546); Loaiza, Juan G. (57219804730)","56602953700; 57192688035; 6602388224; 57226619546; 57219804730","Advancing Water Quality Monitoring in Lentic Ecosystems: Innovations for Freshwater Protection","2025","Earth Systems and Environment","","","","","","0","10.1007/s41748-025-00850-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018691858&doi=10.1007%2Fs41748-025-00850-5&partnerID=40&md5=721aa755e32565fffdd73b008ef2dc74","This study critically reviews the tools and methodologies used to assess water quality in lentic ecosystems, highlighting their effectiveness in tracking temporal variations and supporting evidence-based environmental policymaking. Emphasizing applications across tropical, arid/semi-arid, and alpine water bodies, the study integrates insights from over 120 peer-reviewed articles spanning two decades. Traditional techniques, such as in-situ sampling and laboratory-based physicochemical analysis, are compared with advanced technologies (including statistical tools, multivariate models, and machine learning) which have improved predictive accuracy by up to 25–40% in various case studies. Innovative methods like satellite observation and real-time sensing technologies, and LiDAR (Light Detection and Ranging), demonstrate the ability to reduce monitoring costs by 30–50% while increasing spatial coverage and frequency of measurements. Predictive models, including ANN (Artificial Neural Networks) and PCA (Principal Component Analysis), show high performance with R² values exceeding 0.90 in forecasting water quality indicators such as dissolved Oxygen (DO), (chemical oxygen demand) COD, and chlorophyll-a. The study also addresses challenges such as data scarcity, sensor calibration issues, and the limitations of remote sensing in turbid or cloud-covered regions. Effects of climate change especially increased temperatures and shifts in rainfall patterns are linked to a 30–60% increase in eutrophication events and harmful algal blooms in several regions. Adaptive strategies employing satellite imagery and LiDAR are proposed to enhance monitoring and mitigation responses. A case study of a large reservoir in a semi-arid region demonstrates the integration of remote sensing with in-situ validation, achieving contamination reduction of up to 45% through targeted interventions. These findings reinforce the importance of combining traditional and modern assessment tools for robust, cost-effective, and adaptive water quality management in lentic ecosystems facing growing environmental pressures. © King Abdulaziz University and Springer Nature Switzerland AG 2025.","Assessment tools; Environmental indicators; Lentic ecosystems; Sustainable management; Water quality parameters","Review","Article in press","","Scopus","2-s2.0-105018691858"
"Pehlke M.; Eudenbach C.; Graw M.; Jansen M.","Pehlke, Marcel (59345622600); Eudenbach, Cindy (58945117700); Graw, Maximilian (60054829000); Jansen, Marc (57189244074)","59345622600; 58945117700; 60054829000; 57189244074","Towards Automated Software Testing: Evaluating LLMs in Generating Effective Test Cases","2025","Communications in Computer and Information Science","2505 CCIS","","","205","217","0","10.1007/978-3-031-95127-5_16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013618542&doi=10.1007%2F978-3-031-95127-5_16&partnerID=40&md5=d3596f2c758c30898c09e5f57d74a187","This study explores the potential of Large Language Models (LLMs) in generating automated test cases to enhance software testing and bug detection. By evaluating 100 GitHub issues, the research investigates whether LLM-generated tests could identify bugs prior to their resolution. Findings reveal that LLMs can be effective in certain cases, particularly with simpler code that has fewer dependencies and lower complexity metrics. However, the success of these tests diminishes as code complexity, imports, and function calls increase. The study highlights the potential of LLMs in software testing, while also noting the challenges associated with testing complex code structures.  © The Author(s), under exclusive license to Springer Nature Switzerland AG 2025.","Automated Testing; Bug Detection; Large Language Models (LLMs)","Conference paper","Final","","Scopus","2-s2.0-105013618542"
"Fernandez-y-Fernandez C.A.; Sánchez-Soto E.; Cisnero J.R.A.; Juárez-Ramírez R.","Fernandez-y-Fernandez, C.A. (16041978100); Sánchez-Soto, E. (59556984700); Cisnero, J. R. Aguilar (59556984800); Juárez-Ramírez, R. (56002669500)","16041978100; 59556984700; 59556984800; 56002669500","Exploring the Frontier of Software Engineering Education with Chatbots","2024","Programming and Computer Software","50","8","","796","815","1","10.1134/S0361768824700774","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217776390&doi=10.1134%2FS0361768824700774&partnerID=40&md5=08b63683ff47abf74a422545655959f1","Abstract: This article explores the potential of chatbots to bridge the gap for students transitioning from structured programming to object-oriented programming (OOP). We delve into the advantages and disadvantages of using chatbots like ChatGPT 3.5 and 4.0, Gemini, and Bing to assist with OOP learning. While these tools offer benefits like providing code examples and explanations, limitations exist in accurate problem interpretation and adherence to best practices. Building upon the previous student-focused analysis, we present the results of a new survey targeting software engineering teachers: ‘Survey on the Use of AI Chatbots in Teaching Software Engineering’. This survey sheds light on how educators integrate chatbots into their curriculum and their perspectives on their effectiveness. The original student survey revealed positive impressions of chatbots as study aids, with a high percentage utilizing and finding them valuable. The teacher survey will provide further insights into their role in the teaching and learning process, ultimately contributing to the development of more efficient software engineers. Recognizing and addressing the limitations of chatbots remains crucial to maximizing their potential in OOP education. This paper is an extension of work originally presented in Conisoft 2023 [1]. © Pleiades Publishing, Ltd. 2024.","AI chatbots in education; Bing; chatbots; ChatGPT; Gemini; OOP; software engineering education","Article","Final","","Scopus","2-s2.0-85217776390"
"Merunka V.; Nouza O.; Brožek J.","Merunka, Vojtěch (6508362925); Nouza, Oldřich (35096675300); Brožek, Jiří (56523432800)","6508362925; 35096675300; 56523432800","Automated model transformations using the C.C language","2008","Lecture Notes in Business Information Processing","10 LNBIP","","","137","151","6","10.1007/978-3-540-68644-6_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350048806&doi=10.1007%2F978-3-540-68644-6_10&partnerID=40&md5=eb6fc59ee2e317fe65664bad464a391d","This paper introduces the C.C programming language, which is designed for automated model transformations. The C.C language is outcome of our research and has been implemented in the CASE tool of a British software company. This technology started to be used by companies in the Central Europe and for business and software engineering courses at several Czech and Slovak universities, Loughborough University in the UK and Lehigh University in Pennsylvania. An interesting side-effect of this technology is C.C language application as a first teaching language in algorithmization, programming and software engineering courses. © 2008 Springer Berlin Heidelberg.","BORM; C.C language; Model transformations; Modelling and simulation","Conference paper","Final","","Scopus","2-s2.0-70350048806"
"Abdollahi S.; Nejdl W.; Gottschalk S.","Abdollahi, Sara (57219024750); Nejdl, Wolfgang (57204338128); Gottschalk, Simon (57190496603)","57219024750; 57204338128; 57190496603","Retrieval-Augmented Generation of Event Collections from Web Archives and the Live Web","2025","International Journal on Digital Libraries","26","2","12","","","0","10.1007/s00799-025-00419-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008970912&doi=10.1007%2Fs00799-025-00419-7&partnerID=40&md5=ad88053b698c8f8a964ec6997709914e","Creating collections of societally impactful events is a challenging task given the sheer amount of information about such events covering a large variety of aspects and perspectives in web archives and the live web. The automatic creation of such collections from web archives typically does not live up to the high standards of web archivists, who put lots of manual effort into carefully curating collections. Furthermore, the lack of engaging presentation methods sets up a burden for any users aiming to interact effectively with event collections in order to explore an event in its entirety. Therefore, we (i) conduct expert interviews to determine the requirements for building and utilising event collections from the perspectives of web archivists, (ii) introduce EventExplorer – a retrieval-augmented generation (RAG) approach to create event collections through efficient retrieval and diversified ranking – and make it available in an interactive web system, (iii) apply EventExplorer on different sources including a web archive and the live web, (iv) discuss which requirements are met by EventExplorer as well as the challenges that remain for future work, with a specific emphasis on the distinctive characteristics of both archived web and the live web environments. We demonstrate the effectiveness of EventExplorer applied on web archives through a user study of our interactive system. Then, we transfer our lessons learned to the live web by creating event collections of 166 elections in Europe. Our evaluation results show the effectiveness of EventExplorer in addressing the requirements identified in our expert interviews. Further, we derive a set of challenges and potential future steps for bringing together the automatic creation of web archive collections and manual curation. Finally, we discuss how to make web archives ready for their use in RAG systems. © The Author(s) 2025.","Event collections; Knowledge graph; Retrieval-augmented generation; Web archives","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105008970912"
"Chinnaswamy A.; Sabarish B.A.; Menan R.D.","Chinnaswamy, Arunkumar (58835545000); Sabarish, B.A. (39862121600); Menan, R. Deepak (59387474600)","58835545000; 39862121600; 59387474600","User Story Based Automated Test Case Generation Using NLP","2024","IFIP Advances in Information and Communication Technology","717 IFIPAICT","","","156","166","1","10.1007/978-3-031-69982-5_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207655877&doi=10.1007%2F978-3-031-69982-5_12&partnerID=40&md5=99ee60f7af4bcc34a1ac5d0d0fde26e3","The progress of technology requires software systems to be of higher quality in order to meet the increasing complexity and frequency of changing needs. The present software development life cycle prioritizes the adjustment to evolving client requirements across the different stages of project development, facilitated by Continuous Integration and Continuous Deployment. The process produces a substantial volume of data that can serve as a valuable resource for automating test case production and reducing the need for manual intervention. This publication presents a suggested technique that utilizes natural language processing to automate the generation of test cases, hence minimizing the need for human involvement. The proposed approach has three phases: input-output categorization utilizing sentiment analysis, production of regular expressions, and generation of test cases. The main contribution of this article involves the classification of user keywords and the construction of test cases using them. The suggested model generates diverse outputs to create both positive and negative test cases. It has been tested with 700 user stories that have varying levels of abstraction in articulating the requirements. © IFIP International Federation for Information Processing 2024.","Natural Language Processing; Software Testing; Test case generation; Test case Specifications","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85207655877"
"Cao D.; Rao J.; Luo T.; Wang X.; Ren M.","Cao, Defa (58928170600); Rao, Juwei (60353586600); Luo, Tianfu (60353472800); Wang, Xinyi (60353472900); Ren, Meng (59537739700)","58928170600; 60353586600; 60353472800; 60353472900; 59537739700","Intelligent identification method of power grid monitoring alarm events based on knowledge base and large language model","2026","Discover Applied Sciences","8","2","143","","","0","10.1007/s42452-025-08085-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028738477&doi=10.1007%2Fs42452-025-08085-9&partnerID=40&md5=1ccc9efbf1e03e914448adebdad7664a","Power grid monitoring alarm event refers to the abnormal state notification triggered by monitoring signals during the operation of various devices, networks or business systems in the power system. These alarm events are not only huge in number, but also diverse and complex in correlation. It is difficult to effectively deal with complex and changeable alarm scenarios when evaluating the risk of alarm signals, resulting in low stability and low accuracy of intelligent identification of alarm events. Therefore, this paper proposes an intelligent identification method of power grid monitoring alarm events that integrates knowledge base and large language model. By dividing multi-attribute labels, transforming monitoring alarm data into binary network and calculating feature set, the construction process of knowledge base is designed. Using the natural language processing ability of large-scale language model combined with structured knowledge base data, the structured information retrieved by combining knowledge base is deeply understood and reasoned. On this basis, the fusion process of knowledge base and large language model is designed, and finally the intelligent identification of power grid monitoring alarm events is realized. The experimental results show that the defect risk level of this method is low, and the effect is good when evaluating the defect risk of alarm signals, and the stability keeps rising, and the alarm accuracy is high. In practical application, it can realize the abnormal and accurate alarm of power grid monitoring alarm event information. © The Author(s) 2025.","Feature item set; Intelligent identification; Knowledge base; Large language model; Monitor alarm events","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105028738477"
"Nguyen-Duc A.; Khanna D.","Nguyen-Duc, Anh (55925400800); Khanna, Dron (57027323100)","55925400800; 57027323100","Value-Based Adoption of ChatGPT in Agile Software Development: A Survey Study of Nordic Software Experts","2024","Generative AI for Effective Software Development","","","","257","273","2","10.1007/978-3-031-55642-5_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204811529&doi=10.1007%2F978-3-031-55642-5_12&partnerID=40&md5=192a4dcf4bb4ef90424eaf3ffd43ab62","Agile has become popular as a software development paradigm due to its flexibility, iterative process, and customer-centricity. However, managing Agile projects requires effective communication, collaboration, and decision-making. ChatGPT, a large language model, has the potential to enhance these aspects of Agile project management. In this chapter, we conduct a survey study to understand the perception of Agile project managers about adopting ChatGPT in their projects. Based on responses from 73 Agile professions in Nordic countries, we found that (1) in general, the perceived benefits offered by ChatGPT outweigh the perceived complexity required for its setup, (2) Agile professions are positive toward the adoption of ChatGPT on non-technical activities in Agile projects, and (3) administrative tasks involving meetings, emails, and technical writing are seen as the blue ocean, offering significant value with relatively lower setup complexity. We also discuss the limitations of ChatGPT in the Agile project context, such as bias, privacy concerns, and dependency on data quality. Our discussion provides insights into the potential applications of ChatGPT in Agile project management and recommendations for future research. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2024.","Agile software development; ChatGPT; Generative AI tools; Project management; Questionnaire; Survey","Book chapter","Final","","Scopus","2-s2.0-85204811529"
"Karapantelakis A.; Alizadeh P.; Alabassi A.; Dey K.; Nikou A.","Karapantelakis, Athanasios (35113103400); Alizadeh, Pegah (58540431900); Alabassi, Abdulrahman (58540313100); Dey, Kaushik (57222511778); Nikou, Alexandros (56743300800)","35113103400; 58540431900; 58540313100; 57222511778; 56743300800","Generative AI in mobile networks: a survey","2024","Annales des Telecommunications/Annals of Telecommunications","79","1-2","","15","33","69","10.1007/s12243-023-00980-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168263912&doi=10.1007%2Fs12243-023-00980-9&partnerID=40&md5=edda4d44f7acf02a9a2b626fd040b886","This paper provides a comprehensive review of recent challenges and results in the field of generative AI with application to mobile telecommunications networks. The objective is to classify the literature using an approach that encompasses the type of generative AI technology employed, the functional purpose, and the specific component of the mobile network that each solution targets. Moreover, performance requirements for generative AI applications are considered. Thereafter, state-of-the-art generative AI algorithms and an examination of their use cases across various industry verticals are presented. The discussion extends to the current level of AI integration in telecom standardization bodies, such as the 3rd Generation Partnership Project (3GPP). Finally, the open research challenges that the generative AI technology aims to address are thoroughly investigated. © 2023, Institut Mines-Télécom and Springer Nature Switzerland AG.","5 G; 6 G; Application; Generative AI; Survey; Telecom","Article","Final","","Scopus","2-s2.0-85168263912"
