Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Helping Novice Architects to Make Quality Design Decisions Using an LLM-Based Assistant,Software Architecture,,,,10.1007/978-3-031-70797-1_21,J. Andrés Díaz-PaceAntonela TommaselRafael Capilla,2024,https://link.springer.com/chapter/10.1007/978-3-031-70797-1_21,Conference paper
Automatic Prompt Engineering: The&#xa0;Case of&#xa0;Requirements Classification,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_15,Mohammad Amin ZadenooriLiping ZhaoWaad AlhoshanAlessio Ferrari,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_15,Conference paper
Technology adoption performance evaluation applied to testing industrial REST APIs,Automated Software Engineering,,,,10.1007/s10515-024-00477-2,Alexander PothOlsi RrjolliAndrea Arcuri,2024,https://link.springer.com/article/10.1007/s10515-024-00477-2,Article
Research on the Construction of CBR Theory Intelligent Question Answering System Based on LLM,Intelligent Communication Technologies and Applications,,,,10.1007/978-3-032-06376-2_38,Xiaojiao LiuHuanhuan Fan,2025,https://link.springer.com/chapter/10.1007/978-3-032-06376-2_38,Conference paper
Generative AI meets CAD: enhancing engineering design to manufacturing processes with large language models,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-025-15830-2,Amirmohammad DaareyniAntti MartikkalaHossein MokhtarianIñigo Flores Ituarte,2025,https://link.springer.com/article/10.1007/s00170-025-15830-2,Article
Grapevine SDLC Model for Real-Time Fake News Classification,Advanced Network Technologies and Intelligent Computing,,,,10.1007/978-3-031-83796-8_15,C. AishwaryaTanay Praveen ShekokarKonatham Naga MukeshM. VenkatesanP. Prabhavathy,2025,https://link.springer.com/chapter/10.1007/978-3-031-83796-8_15,Conference paper
Exploring Methodologies for Computing Sentence Similarity in Natural Language Processing,Advances in Data and Information Sciences,,,,10.1007/978-981-97-9619-9_21,Sagar MondalAbirami GurushankerMirudhula LoganathRishima ChowdhurySankari KarthikLekshmi KalinathanJanaki Meena MuruganMarimuthu MarimuthuSaravanan Palani,2025,https://link.springer.com/chapter/10.1007/978-981-97-9619-9_21,Conference paper
Using an LLM to Create Situation-Specific Knowledge Graphs Based on a Domain Knowledge Graph: Practical Possibilities and Semantic Challenges,Advanced Information Systems Engineering Workshops,,,,10.1007/978-3-031-94931-9_1,Steven Alter,2025,https://link.springer.com/chapter/10.1007/978-3-031-94931-9_1,Conference paper
Advanced System Integration: Analyzing OpenAPI Chunking for&#xa0;Retrieval-Augmented Generation,Advanced Information Systems Engineering,,,,10.1007/978-3-031-94571-7_8,Robin D. PeslJerin G. MathewMassimo MecellaMarco Aiello,2025,https://link.springer.com/chapter/10.1007/978-3-031-94571-7_8,Conference paper
Carbon Footprint Evaluation of Code Generation through LLM as a Service,2024 Stuttgart International Symposium on Automotive and Engine Technology,,,,10.1007/978-3-658-45010-6_15,Tina VartziotisMaximilian SchmidtGeorge DasoulasIppolyti DellatolasStefano AttademoViet Dung LeAnke WiechmannTim HoffmannMichael KeckeisenSotirios Kotsopoulos,2024,https://link.springer.com/chapter/10.1007/978-3-658-45010-6_15,Conference paper
Using LLMs to&#xa0;Analyze Software Requirements for&#xa0;Software Testing: A&#xa0;Comparative Study,Smart Business and Technologies,,,,10.1007/978-3-031-86698-2_37,Mohamed BoukhlifNassim KharmoumMohamed HanineSouad Najoua Lagmiri,2025,https://link.springer.com/chapter/10.1007/978-3-031-86698-2_37,Conference paper
On the use of large language models in model-driven engineering,Software and Systems Modeling,,,,10.1007/s10270-025-01263-8,Juri Di RoccoDavide Di RuscioClaudio Di SipioPhuong T. NguyenRiccardo Rubei,2025,https://link.springer.com/article/10.1007/s10270-025-01263-8,Article
Automated Construction of High-quality Evaluation Datasets Based on LLMs,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-95-0014-7_31,Liming KangRongduo HanMeiping WangZhixiang YangNan GaoHaining Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-95-0014-7_31,Conference paper
"ChatGPT Prompt Patterns for Improving Code Quality, Refactoring, Requirements Elicitation, and Software Design",Generative AI for Effective Software Development,,,,10.1007/978-3-031-55642-5_4,Jules WhiteSam HaysQuchen FuJesse Spencer-SmithDouglas C. Schmidt,2024,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_4,Chapter
Writing Better User Stories and Estimates Story Point with Machine Learning and Natural Language Processing,SN Computer Science,,,,10.1007/s42979-025-04363-w,Giseldo da Silva NeoJosé Antão Beltrão MouraHyggo Oliveira de AlmeidaAlana Viana Borges da Silva NeoOlival de Gusmão  Freitas Júnior,2025,https://link.springer.com/article/10.1007/s42979-025-04363-w,Article
Large Language Models for Classification of Functional and Nonfunctional Requirements,Pattern Recognition. ICPR 2024 International Workshops and Challenges,,,,10.1007/978-3-031-88220-3_8,Daniel DavisMariofanna Milanova,2025,https://link.springer.com/chapter/10.1007/978-3-031-88220-3_8,Conference paper
The Research on Key Technologies for Intelligent Education Based on LLM,Biologically Inspired Cognitive Architectures 2023,,,,10.1007/978-3-031-50381-8_34,Jiaqi FuTiejun PanLeina ZhengZichu Xue,2024,https://link.springer.com/chapter/10.1007/978-3-031-50381-8_34,Conference paper
Design and&#xa0;Evaluation of&#xa0;an&#xa0;LLM-Based Mentor for&#xa0;Software Architecture in&#xa0;Higher Education Project Management Classes,Futureproofing Engineering Education for Global Responsibility,,,,10.1007/978-3-031-83523-0_35,Sebastian GürtlDaniel ScharfChristina ThrainerChristian GütlAlexander Steinmaurer,2025,https://link.springer.com/chapter/10.1007/978-3-031-83523-0_35,Conference paper
Improving Understandability and&#xa0;Control in&#xa0;Data Preparation: A Human-Centered Approach,Advanced Information Systems Engineering,,,,10.1007/978-3-031-61057-8_17,Emanuele PucciCamilla SancriccaSalvatore AndolinaCinzia CappielloMaristella MateraAnna Barberio,2024,https://link.springer.com/chapter/10.1007/978-3-031-61057-8_17,Conference paper
NL2CTL: Automatic Generation of&#xa0;Formal Requirements Specifications via&#xa0;Large Language Models,Formal Methods and Software Engineering,,,,10.1007/978-981-96-0617-7_1,Mengyan ZhaoRan TaoYanhong HuangJianqi ShiShengchao QinYang Yang,2024,https://link.springer.com/chapter/10.1007/978-981-96-0617-7_1,Conference paper
Enhancing the ability of LLMs for spaceborne equipment code generation via retrieval-augmented generation and contrastive learning,Automated Software Engineering,,,,10.1007/s10515-025-00545-1,Rui HeLiang ZhangLiangqing LyuChangbin Xue,2025,https://link.springer.com/article/10.1007/s10515-025-00545-1,Article
Advanced Learning System—Automatic MCQ Generator with Answer Evaluation and Performance Analysis Using LLM,Innovative Computing and Communications,,,,10.1007/978-981-96-6883-0_42,A. SnegaaN. Sabiyath FatimaI. KarthigaS. AmsavalliA. NazreenJ. Jhasim Hassan,2025,https://link.springer.com/chapter/10.1007/978-981-96-6883-0_42,Conference paper
Identifying open-texture in regulations using LLMs,Artificial Intelligence and Law,,,,10.1007/s10506-025-09450-0,Clement GuittonReto GubelmannGhassen KarraySimon MayerAurelia Tamò-Larrieux,2025,https://link.springer.com/article/10.1007/s10506-025-09450-0,Article
Adaptive AI in&#xa0;Concurrent Engineering: A Paradigm Shift in&#xa0;Design and&#xa0;Integration,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87781-0_3,Claudio CianoPhilipp ChrszonPhilipp Martin FischerFlora AmatoAndreas Gerndt,2025,https://link.springer.com/chapter/10.1007/978-3-031-87781-0_3,Conference paper
You Still have to&#xa0;Study On the&#xa0;Security of&#xa0;LLM Generated Code,ICT Systems Security and Privacy Protection,,,,10.1007/978-3-031-92886-4_8,Andreas SchaadStefan GötzDominik Binder,2025,https://link.springer.com/chapter/10.1007/978-3-031-92886-4_8,Conference paper
Beyond the&#xa0;Systematic: Forecasting Importance and&#xa0;Emergence of&#xa0;Research Areas in&#xa0;Applications of&#xa0;Software Traceability Using NLP,Evaluation of Novel Approaches to Software Engineering,,,,10.1007/978-3-031-64182-4_6,Zaki PauziAndrea Capiluppi,2024,https://link.springer.com/chapter/10.1007/978-3-031-64182-4_6,Conference paper
Mapping system requirements to emotional impact: a semi-automated approach,Innovations in Systems and Software Engineering,,,,10.1007/s11334-025-00618-0,Mandira RoyNovarun DebAgostino CortesiNabendu Chaki,2025,https://link.springer.com/article/10.1007/s11334-025-00618-0,Article
On Using Large Language Models Pre-trained on&#xa0;Digital Twins as&#xa0;Oracles to&#xa0;Foster the&#xa0;Use of&#xa0;Formal Methods in&#xa0;Practice,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering Methodologies",,,,10.1007/978-3-031-75387-9_3,Serge Autexier,2025,https://link.springer.com/chapter/10.1007/978-3-031-75387-9_3,Conference paper
Analysing the Role of Generative AI in Software Engineering - Results from an MLR,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-71139-8_11,Tuomas BazzanBenjamin OlojoPrzemysław MajdaThomas KellyMurat YilmazGerard MarksPaul M. Clarke,2024,https://link.springer.com/chapter/10.1007/978-3-031-71139-8_11,Conference paper
Deep learning for code generation: a survey,Science China Information Sciences,,,,10.1007/s11432-023-3956-3,Huangzhao ZhangKechi ZhangZhuo LiJia LiJia LiYongmin LiYunfei ZhaoYuqi ZhuFang LiuGe LiZhi Jin,2024,https://link.springer.com/article/10.1007/s11432-023-3956-3,Article
"Requirements Extraction, Definition, and&#xa0;Design Using Retrieval Augmented Generation and&#xa0;Large Language Models","Complex, Intelligent and Software Intensive Systems",,,,10.1007/978-3-031-96096-3_26,Beniamino Di MartinoSalvatore D’AngeloAntonio EspositoDario BrancoCarla MastinoGianluca Paravati,2025,https://link.springer.com/chapter/10.1007/978-3-031-96096-3_26,Conference paper
A case study for automated attribute extraction from legal documents using large language models,Artificial Intelligence and Law,,,,10.1007/s10506-024-09425-7,Subinay AdhikaryProcheta SenDwaipayan RoyKripabandhu Ghosh,2024,https://link.springer.com/article/10.1007/s10506-024-09425-7,Article
Computational Tool Based on AI for the Management of Clinical Relevance Denials,Advances in Bioengineering and Clinical Engineering 2025,,,,10.1007/978-3-032-06401-1_37,Daniela A. Adarme ArdilaMariana A. Arciniegas MariñoJohanna V. Rueda BenavidesLuis F. Buitrago Castro,2025,https://link.springer.com/chapter/10.1007/978-3-032-06401-1_37,Conference paper
Onboard Perception and Localization for Resource-Constrained Dynamic Environments: A RoboCup Small Size League Case Study,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-025-02259-8,João G. MeloLucas CavalcantiRiei JoaquimVictor AraújoEdna Barros,2025,https://link.springer.com/article/10.1007/s10846-025-02259-8,Article
Intelligent identification method of power grid monitoring alarm events based on knowledge base and large language model,Discover Applied Sciences,,,,10.1007/s42452-025-08085-9,Defa CaoJuwei RaoTianfu LuoXinyi WangMeng Ren,2025,https://link.springer.com/article/10.1007/s42452-025-08085-9,Article
Pre-training large language models based on Transformer architecture for building industry application: A review,Building Simulation,,,,10.1007/s12273-025-1324-9,Jinrui LiangYuyan LinYanchen LiuYu HuangHuijun Wu,2025,https://link.springer.com/article/10.1007/s12273-025-1324-9,Article
FeReRe: Feedback Requirements Relation Using Large Language Models,Requirements Engineering: Foundation for Software Quality,,,,10.1007/978-3-031-88531-0_7,Michael AndersBarbara Paech,2025,https://link.springer.com/chapter/10.1007/978-3-031-88531-0_7,Conference paper
Framework and&#xa0;Roadmap for&#xa0;Secure Design and&#xa0;Development of&#xa0;Applications in&#xa0;the&#xa0;Cloud and&#xa0;Mobile Ecosystem,Cybersecurity,,,,10.1007/978-3-031-94855-8_12,Francisco T. ChimucoJoão B. F. SequeirosMário M. FreirePedro R. M. Inácio,2025,https://link.springer.com/chapter/10.1007/978-3-031-94855-8_12,Conference paper
How Artificial Intelligence Technology Affects Productivity,Sustainable Green Conversion,,,,10.1007/978-3-031-83583-4_9,Elizaveta SemenovaMikhail Komarov,2025,https://link.springer.com/chapter/10.1007/978-3-031-83583-4_9,Conference paper
Mobile AI-Generated Content Data Sharing Privacy-Preserving Scheme for&#xa0;Logistics IoT in&#xa0;6G Era,Cyberspace Simulation and Evaluation,,,,10.1007/978-981-96-4509-1_14,Kun-Chang LiRui-Yao WangHao WangYi-Chun Wang,2025,https://link.springer.com/chapter/10.1007/978-981-96-4509-1_14,Conference paper
Enhancing DevSecOps practice with Large Language Models and Security Chaos Engineering,International Journal of Information Security,,,,10.1007/s10207-024-00909-w,Martin BedoyaSara PalaciosDaniel Díaz-LópezEstefania LaverdePantaleone Nespoli,2024,https://link.springer.com/article/10.1007/s10207-024-00909-w,Article
How Can Generative AI Enhance Software Management? Is It Better Done than Perfect?,Generative AI for Effective Software Development,,,,10.1007/978-3-031-55642-5_11,Beatriz Cabrero-DanielYasamin FazelidehkordiAli Nouri,2024,https://link.springer.com/chapter/10.1007/978-3-031-55642-5_11,Chapter
Introduction to theme section on requirements formalisation,Software and Systems Modeling,,,,10.1007/s10270-024-01241-6,Kevin LanoShekoufeh RahimiSobhan TehraniLola BurgueñoMohammad Aminu Umar,2024,https://link.springer.com/article/10.1007/s10270-024-01241-6,Article
Automating the&#xa0;Generation of&#xa0;Competency Questions for&#xa0;Ontologies with&#xa0;AgOCQs,Knowledge Graphs and Semantic Web,,,,10.1007/978-3-031-47745-4_16,Mary-Jane AntiaC. Maria Keet,2023,https://link.springer.com/chapter/10.1007/978-3-031-47745-4_16,Conference paper
Automated requirement contradiction detection through formal logic and LLMs,Automated Software Engineering,,,,10.1007/s10515-024-00452-x,Alexander Elenga GärtnerDietmar Göhlich,2024,https://link.springer.com/article/10.1007/s10515-024-00452-x,Article
Towards Combining the&#xa0;Cognitive Abilities of&#xa0;Large Language Models with&#xa0;the&#xa0;Rigor of&#xa0;Deductive Progam Verification,"Leveraging Applications of Formal Methods, Verification and Validation. Software Engineering Methodologies",,,,10.1007/978-3-031-75387-9_15,Bernhard BeckertJonas KlamrothWolfram PfeiferPatrick RöperSamuel Teuber,2025,https://link.springer.com/chapter/10.1007/978-3-031-75387-9_15,Conference paper
Can Large Language Models (LLMs) Compete with Human Requirements Reviewers? – Replication of an Inspection Experiment on Requirements Documents,Product-Focused Software Process Improvement,,,,10.1007/978-3-031-78386-9_3,Daniel SeifertLisa JöckelAdam TrendowiczMarcus CiolkowskiThorsten HonrothAndreas Jedlitschka,2025,https://link.springer.com/chapter/10.1007/978-3-031-78386-9_3,Conference paper
Scenarios and&#xa0;Requirements for&#xa0;Supporting Workplace Risk Assessment with&#xa0;Artificial Intelligence,Artificial Intelligence in HCI,,,,10.1007/978-3-031-93418-6_23,Martin WesthovenThomas Herrmann,2025,https://link.springer.com/chapter/10.1007/978-3-031-93418-6_23,Conference paper
A Multimodal conceptual framework to achieve automated software evolution for context-rich intelligent applications,Innovations in Systems and Software Engineering,,,,10.1007/s11334-024-00591-0,Songhui Yue,2024,https://link.springer.com/article/10.1007/s11334-024-00591-0,Article
Planning and Requirements Management in Projects,AI Integration in Software Development and Operations,,,,10.1007/979-8-8688-1044-2_4,Abhinav Krishna KaiserVamshi Meda,2024,https://link.springer.com/chapter/10.1007/979-8-8688-1044-2_4,Chapter
Integrating Knowledge and Data-Driven Artificial Intelligence for Decisional Enterprise Interoperability,Innovative Intelligent Industrial Production and Logistics,,,,10.1007/978-3-031-80775-6_26,Christos EmmanouilidisSabine WaschullJessica Zotelli,2025,https://link.springer.com/chapter/10.1007/978-3-031-80775-6_26,Conference paper
Safeguarding large language models: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11389-2,Yi DongRonghui MuYanghao ZhangSiqi SunTianle ZhangChangshun WuGaojie JinYi QiJinwei HuJie MengSaddek BensalemXiaowei Huang,2025,https://link.springer.com/article/10.1007/s10462-025-11389-2,Article
Teaching conceptual modelling in the age of LLMs: shifting from model creation to model evaluation skills,Software and Systems Modeling,,,,10.1007/s10270-025-01307-z,Monique SnoeckOscar Pastor,2025,https://link.springer.com/article/10.1007/s10270-025-01307-z,Article
Large Language Models for Process Knowledge Acquisition,Business & Information Systems Engineering,,,,10.1007/s12599-025-00976-w,Malik SchinckusAnthony SimonofskiNicolás Bono Rosselló,2025,https://link.springer.com/article/10.1007/s12599-025-00976-w,Article
Refactoring goal-oriented models: a linguistic improvement using large language models,Software and Systems Modeling,,,,10.1007/s10270-024-01254-1,Nouf AlturayeifJameleddine Hassine,2025,https://link.springer.com/article/10.1007/s10270-024-01254-1,Article
Introduction,Engineering Information Systems with Large Language Models,,,,10.1007/978-3-031-92285-5_1,Massimo Mecella,2025,https://link.springer.com/chapter/10.1007/978-3-031-92285-5_1,Chapter
Not What I was Trained for – Out-of-Distribution-Tests for&#xa0;Interactive AIs,Engineering Interactive Computer Systems. EICS 2023 International Workshops and Doctoral Consortium,,,,10.1007/978-3-031-59235-5_12,Benedikt SeverinOle WergerMarc Hesenius,2024,https://link.springer.com/chapter/10.1007/978-3-031-59235-5_12,Conference paper
Interviewing ChatGPT-Generated Personas to&#xa0;Inform Design Decisions,Computer-Human Interaction Research and Applications,,,,10.1007/978-3-031-82633-7_6,Jemily Rime,2025,https://link.springer.com/chapter/10.1007/978-3-031-82633-7_6,Conference paper
Retrieval-Augmented Generation of Event Collections from Web Archives and the Live Web,International Journal on Digital Libraries,,,,10.1007/s00799-025-00419-7,Sara AbdollahiWolfgang NejdlSimon Gottschalk,2025,https://link.springer.com/article/10.1007/s00799-025-00419-7,Article
The Role of&#xa0;Generative AI in&#xa0;Competency Question Retrofitting,The Semantic Web: ESWC 2024 Satellite Events,,,,10.1007/978-3-031-78952-6_1,Reham AlharbiValentina TammaFloriana GrassoTerry R. Payne,2025,https://link.springer.com/chapter/10.1007/978-3-031-78952-6_1,Conference paper
SmartDelta Methodology: Automated Quality Assurance and&#xa0;Optimization for&#xa0;Incremental System Engineering,The 22nd International Conference on Information Technology-New Generations (ITNG 2025),,,,10.1007/978-3-031-89063-5_56,Benedikt DornauerMichael FeldererMehrdad SaadatmandMuhammad AbbasNicolas BonnotteAndreas DreschinskiEduard Paul EnoiuEray TüzünBaykal Mehmet UçarÖmercan DevranRobin Gröpler,2025,https://link.springer.com/chapter/10.1007/978-3-031-89063-5_56,Conference paper
Expansion of Chinese Lexicon and Language Model Optimization in the Perspective of Big Data Using the Word2Vec Model,"7th International Conference on Education, Network and Information Technology",,,,10.1007/978-3-031-85225-1_6,Zhong Luo,2025,https://link.springer.com/chapter/10.1007/978-3-031-85225-1_6,Conference paper
Evaluating user story quality with LLMs: a comparative study,Journal of Intelligent Information Systems,,,,10.1007/s10844-025-00939-3,Amol SharmaAnil Kumar Tripathi,2025,https://link.springer.com/article/10.1007/s10844-025-00939-3,Article
Towards an understanding of large language models in software engineering tasks,Empirical Software Engineering,,,,10.1007/s10664-024-10602-0,Zibin ZhengKaiwen NingQingyuan ZhongJiachi ChenWenqing ChenLianghong GuoWeicheng WangYanlin Wang,2024,https://link.springer.com/article/10.1007/s10664-024-10602-0,Article
Towards Intelligent Systems to&#xa0;Improve IEC 62559 Use Cases and&#xa0;Smart Grid Architecture Models Quality,Intelligent Information Systems,,,,10.1007/978-3-031-61000-4_5,René KuchenbuchLaura NiemannJohann SchützJürgen Sauer,2024,https://link.springer.com/chapter/10.1007/978-3-031-61000-4_5,Conference paper
Analyzing Scrum Team Impediments Using NLP,Frontiers in Software Engineering Education,,,,10.1007/978-3-031-48639-5_4,KaleemunnisaChristelle ScharffKrishna Mohan BathulaKaiyin Chen,2023,https://link.springer.com/chapter/10.1007/978-3-031-48639-5_4,Conference paper
Prompt Patterns for Agile Software Project Managers: First Results,Software Business,,,,10.1007/978-3-031-53227-6_14,Kari SainioPekka AbrahamssonTero Ahtee,2024,https://link.springer.com/chapter/10.1007/978-3-031-53227-6_14,Conference paper
Building a Chatbot to Adopt an Effective Learning Strategy for Graduate Courses in Computer Science,Computer Science and Education in Computer Science,,,,10.1007/978-3-031-84312-9_19,Alex ElentukhShravan MotipallyJacob KustraToby March,2025,https://link.springer.com/chapter/10.1007/978-3-031-84312-9_19,Conference paper
Measuring the&#xa0;Effectiveness of&#xa0;Keyword Lists in&#xa0;Digital Forensics,"Availability, Reliability and Security",,,,10.1007/978-3-032-00635-6_3,Aikaterini KantaChristopher Hargreaves,2025,https://link.springer.com/chapter/10.1007/978-3-032-00635-6_3,Conference paper
"The MATRIX Ontology - Semantic Memory for&#xa0;Multi-agent Experience Transfer, Reasoning and&#xa0;and Interaction eXchange",Advanced Information Systems Engineering Workshops,,,,10.1007/978-3-031-94931-9_8,Liubov KovriguinaDmitry MouromtsevPeter Haase,2025,https://link.springer.com/chapter/10.1007/978-3-031-94931-9_8,Conference paper
DistALANER: Distantly Supervised Active Learning Augmented Named Entity Recognition in&#xa0;the&#xa0;Open Source Software Ecosystem,Machine Learning and Knowledge Discovery in Databases. Applied Data Science Track,,,,10.1007/978-3-031-70381-2_20,Somnath BanerjeeAvik DuttaAaditya AgrawalRima HazraAnimesh Mukherjee,2024,https://link.springer.com/chapter/10.1007/978-3-031-70381-2_20,Conference paper
TextLens: large language models-powered visual analytics enhancing text clustering,Journal of Visualization,,,,10.1007/s12650-025-01043-y,Ruixiao PengYu DongGuan LiDong TianGuihua Shan,2025,https://link.springer.com/article/10.1007/s12650-025-01043-y,Article
Requirement-service mapping technology in the industrial application field based on large language models,Applied Intelligence,,,,10.1007/s10489-024-05969-y,Liu RuixiangDeng QiujunLiu XianhuiZhu ChenglinZhao Weidong,2024,https://link.springer.com/article/10.1007/s10489-024-05969-y,Article
User Story Based Automated Test Case Generation Using NLP,Computational Intelligence in Data Science,,,,10.1007/978-3-031-69982-5_12,Arunkumar ChinnaswamyB. A. SabarishR. Deepak Menan,2024,https://link.springer.com/chapter/10.1007/978-3-031-69982-5_12,Conference paper
Large Language Models for&#xa0;Software Engineering: A Systematic Mapping Study,"Systems, Software and Services Process Improvement",,,,10.1007/978-3-031-71139-8_5,Muhammet Kürşat GörmezMurat YılmazPaul M. Clarke,2024,https://link.springer.com/chapter/10.1007/978-3-031-71139-8_5,Conference paper
Integrating LLMs in the Engineering of a SAR Ontology,Artificial Intelligence Applications and Innovations,,,,10.1007/978-3-031-63223-5_27,Dimitrios DoumanasAndreas SoularidisKonstantinos KotisGeorge Vouros,2024,https://link.springer.com/chapter/10.1007/978-3-031-63223-5_27,Conference paper
"Generative AI for cyber threat intelligence: applications, challenges, and analysis of real-world case studies",Artificial Intelligence Review,,,,10.1007/s10462-025-11338-z,Prasasthy BalasubramanianSonali LiyanaHamsini SankaranShambavi SivaramakrishnanSruthi PusuluriSusanna PirttikangasElla Peltonen,2025,https://link.springer.com/article/10.1007/s10462-025-11338-z,Article
Automatic conflict detection and resolution in digital service network requirement models using large language models,Service Oriented Computing and Applications,,,,10.1007/s11761-025-00480-9,Siyu NanYu QiaoYifan XieZilong ZhangYaling LuoBing LiJian Wang,2025,https://link.springer.com/article/10.1007/s11761-025-00480-9,Article
Artificial intelligence for system security assurance: A systematic literature review,International Journal of Information Security,,,,10.1007/s10207-024-00959-0,Shao-Fang WenAnkur ShuklaBasel Katt,2024,https://link.springer.com/article/10.1007/s10207-024-00959-0,Article
Towards Automated Software Testing: Evaluating LLMs in&#xa0;Generating Effective Test Cases,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-95127-5_16,Marcel PehlkeCindy EudenbachMaximilian GrawMarc Jansen,2025,https://link.springer.com/chapter/10.1007/978-3-031-95127-5_16,Conference paper
Leveraging machine learning for intelligent agriculture,Discover Internet of Things,,,,10.1007/s43926-025-00132-6,B. J. SowmyaA. K. MeeradeviS. SupreethD. Pradeep KumarB. N. Ravi KumarS. RohithDivyansh MishraAbhishek KoushikAnkit U. Patil,2025,https://link.springer.com/article/10.1007/s43926-025-00132-6,Article
Automating NCAAA Accreditation Process with GPT-4 API,"Proceedings of the 1st International Conference on Creativity, Technology, and Sustainability",,,,10.1007/978-981-97-8588-9_23,Gilang Aulia MuhamadBassma Saleh AlsulamiKhalid Omar Thabit,2025,https://link.springer.com/chapter/10.1007/978-981-97-8588-9_23,Conference paper
"CARS 2024—Computer Assisted Radiology and Surgery Proceedings of the 38th International Congress and Exhibition Barcelona, Spain, June 18–21, 2024",International Journal of Computer Assisted Radiology and Surgery,,,,10.1007/s11548-024-03128-9,,2024,https://link.springer.com/article/10.1007/s11548-024-03128-9,Article
Generating Specifications from Requirements Documents for Smart Devices Using Large Language Models (LLMs),Human-Computer Interaction,,,,10.1007/978-3-031-60405-8_7,Rainer LutzeKlemens Waldhör,2024,https://link.springer.com/chapter/10.1007/978-3-031-60405-8_7,Conference paper
Data integration from traditional to big data: main features and comparisons of ETL approaches,The Journal of Supercomputing,,,,10.1007/s11227-024-06413-1,Afef WalhaFaiza GhozziFaiez Gargouri,2024,https://link.springer.com/article/10.1007/s11227-024-06413-1,Article
How are LLMs Used for&#xa0;Conceptual Modeling? An Exploratory Study on&#xa0;Interaction Behavior and&#xa0;User Perception,Conceptual Modeling,,,,10.1007/978-3-031-75872-0_14,Syed Juned AliIris Reinhartz-BergerDominik Bork,2025,https://link.springer.com/chapter/10.1007/978-3-031-75872-0_14,Conference paper
Assessing Model Quality Using Large Language Models,The Practice of Enterprise Modeling,,,,10.1007/978-3-031-77908-4_7,Anne GutschmidtBenjamin Nast,2025,https://link.springer.com/chapter/10.1007/978-3-031-77908-4_7,Conference paper
LLM4TDG: test-driven generation of large language models based on enhanced constraint reasoning,Cybersecurity,,,,10.1186/s42400-024-00335-4,Jingqiang LiuRuigang LiangXiaoxi ZhuYue ZhangYuling LiuQixu Liu,2025,https://link.springer.com/article/10.1186/s42400-024-00335-4,Article
Three decades of the OO-Method: fostering conceptual-model software engineering,Software and Systems Modeling,,,,10.1007/s10270-025-01299-w,Oscar PastorRene NoelJose Ignacio Panach,2025,https://link.springer.com/article/10.1007/s10270-025-01299-w,Article
Data Science and&#xa0;Environmental Sustainability: Mastering the&#xa0;Information and&#xa0;Knowledge,"Human and Artificial Rationalities. Advances in Cognition, Computation, and Consciousness",,,,10.1007/978-3-031-84595-6_2,Charles El NoutyDarya Filatova,2025,https://link.springer.com/chapter/10.1007/978-3-031-84595-6_2,Conference paper
Case Study: Transforming Operational and Organizational Efficiency Using Artificial Intelligence and Machine Learning,Boosting Software Development Using Machine Learning,,,,10.1007/978-3-031-88188-6_2,Vindhya AvvariAbhik ChoudhuryArjun KaratTirimula Rao Benala,2025,https://link.springer.com/chapter/10.1007/978-3-031-88188-6_2,Chapter
Proceedings of the 6th National Big Data Health Science Conference,BMC Proceedings,,,,10.1186/s12919-025-00328-2,,2025,https://link.springer.com/article/10.1186/s12919-025-00328-2,Article
Software development in the age of intelligence: embracing large language models with the right approach,Frontiers of Information Technology & Electronic Engineering,,,,10.1631/FITEE.2300537,Xin Peng,2023,https://link.springer.com/article/10.1631/FITEE.2300537,Article
Towards Taming Large Language Models with&#xa0;Prompt Templates for&#xa0;Legal GRL Modeling,"Enterprise, Business-Process and Information Systems Modeling",,,,10.1007/978-3-031-61007-3_17,Sybren de KinderenKarolin Winter,2024,https://link.springer.com/chapter/10.1007/978-3-031-61007-3_17,Conference paper
Automated Penetration Testing Using Generative Artificial,Cybersecurity and Human Capabilities Through Symbiotic Artificial Intelligence,,,,10.1007/978-3-031-82031-1_22,Veerababu GullinkalaSina Pournouri,2025,https://link.springer.com/chapter/10.1007/978-3-031-82031-1_22,Conference paper
Towards an&#xa0;Intelligent Test Case Generation Framework Using LLMs and&#xa0;Prompt Engineering,"Advances in Smart Medical, IoT & Artificial Intelligence",,,,10.1007/978-3-031-66854-8_3,Mohamed BoukhlifNassim KharmoumMohamed HanineMohcine KodadSouad Najoua Lagmiri,2024,https://link.springer.com/chapter/10.1007/978-3-031-66854-8_3,Conference paper
